_nwb_path,subject_id,reward_block,block_order,block_start_from_session_seconds,block_stop_from_session_seconds,block_duration_seconds,n_trials,is_technically_valid
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,no_reward,2,888.17599,2383.5432299999998,1495.3672399999998,157,true
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,engaged_2,3,2383.55975,3900.02674,1516.46699,278,true
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,engaged_1,1,0.0,885.43963,885.43963,162,true
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,no_reward,2,894.88107,2381.97534,1487.09427,160,true
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,engaged_2,3,2382.7251399999996,3906.7682699999996,1524.04313,249,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,engaged_1,1,0.0,889.57665,889.57665,206,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,no_reward,2,889.5928,2387.3952799999997,1497.8024799999998,156,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,engaged_2,3,2388.14569,3900.1763499999997,1512.03066,203,true
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,engaged_1,1,0.0,884.37213,884.37213,174,true
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,no_reward,2,885.12236,2382.79169,1497.6693300000002,162,true
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,engaged_2,3,2383.54194,3900.39428,1516.85234,264,true
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,engaged_1,1,0.0,889.67685,889.67685,186,true
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,no_reward,2,889.69339,2385.94443,1496.2510399999999,159,true
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,engaged_2,3,2386.6943100000003,3906.21565,1519.5213399999998,215,true
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,engaged_1,1,0.0,883.6384400000001,883.6384400000001,195,true
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,no_reward,2,884.38992,2388.88038,1504.49046,158,true
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,engaged_2,3,2389.63092,3904.6645000000003,1515.0335800000003,228,true
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,engaged_1,1,0.0,882.12008,882.12008,203,true
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,no_reward,2,882.87057,2384.47541,1501.6048399999997,155,true
