transition_id,transition_order,transition_label,condition,condition_order,condition_label,contrast_id,analysis_id,result_id,estimate,ci_low,ci_high,confidence_level,p_value,adjusted_p_value,adjustment_method,multiplicity_family,n_mice,n_sessions,aggregation,status,reason
reward_withdrawal,1,Reward withdrawal,go,1,Go response,reward_withdrawal_go_pseudo_controlled_step,behavior_transition_qc,reward_withdrawal_go_pseudo_controlled_step_mouse_mean,0.1436826205344724,0.07716913573395054,0.20977405717567751,0.95,0.00034999650003499967,0.00034999650003499967,holm,behavior_transition_primary_go,27,99,equal-session mean within mouse; equal-mouse inference,pass,
reward_withdrawal,1,Reward withdrawal,go_minus_catch,2,Go − catch,reward_withdrawal_go_minus_catch_pseudo_controlled_step,behavior_transition_qc,reward_withdrawal_go_minus_catch_pseudo_controlled_step_mouse_mean,0.1020446888502444,-0.010604411235198256,0.2093512418223066,0.95,0.08532914670853292,0.08532914670853292,holm,behavior_transition_primary_specificity,27,97,equal-session mean within mouse; equal-mouse inference,pass,
reward_restoration,2,Reward restoration,go,1,Go response,reward_restoration_go_pseudo_controlled_step,behavior_transition_qc,reward_restoration_go_pseudo_controlled_step_mouse_mean,0.4998462243900697,0.4024356062633909,0.5995574191754747,0.95,9.99990000099999e-6,0.00001999980000199998,holm,behavior_transition_primary_go,27,97,equal-session mean within mouse; equal-mouse inference,pass,
reward_restoration,2,Reward restoration,go_minus_catch,2,Go − catch,reward_restoration_go_minus_catch_pseudo_controlled_step,behavior_transition_qc,reward_restoration_go_minus_catch_pseudo_controlled_step_mouse_mean,0.4022194041938051,0.27667219612293825,0.536012863952849,0.95,9.99990000099999e-6,0.00001999980000199998,holm,behavior_transition_primary_specificity,27,95,equal-session mean within mouse; equal-mouse inference,pass,
