subject_id,perturbation_family,condition,reward_block,metric,n_sessions,n_trials,value,condition_order,condition_label,block_order,block_label
640887,contrast,reduced,engaged_2,behavior_response,2,33,0.4007352941176471,2,Contrast: 70%,3,E2
640890,contrast,reduced,engaged_1,behavior_response,2,19,0.6888888888888889,2,Contrast: 70%,1,E1
640890,contrast,reduced,no_reward,behavior_response,2,38,0.10555555555555556,2,Contrast: 70%,2,NR
640890,contrast,reduced,engaged_2,behavior_response,2,34,0.6284722222222222,2,Contrast: 70%,3,E2
642504,contrast,reduced,engaged_1,behavior_response,3,29,0.7962962962962963,2,Contrast: 70%,1,E1
642504,contrast,reduced,no_reward,behavior_response,3,55,0.0892156862745098,2,Contrast: 70%,2,NR
642504,contrast,reduced,engaged_2,behavior_response,3,52,0.7259416924664602,2,Contrast: 70%,3,E2
614547,novelty,familiar,engaged_1,behavior_response,1,20,0.85,3,Identity: familiar,1,E1
614547,novelty,familiar,no_reward,behavior_response,1,60,0.31666666666666665,3,Identity: familiar,2,NR
614547,novelty,familiar,engaged_2,behavior_response,1,29,0.896551724137931,3,Identity: familiar,3,E2
614608,novelty,familiar,engaged_1,behavior_response,2,44,0.825,3,Identity: familiar,1,E1
614608,novelty,familiar,no_reward,behavior_response,2,116,0.28448275862068967,3,Identity: familiar,2,NR
614608,novelty,familiar,engaged_2,behavior_response,2,82,0.7358378056052475,3,Identity: familiar,3,E2
615048,novelty,familiar,engaged_1,behavior_response,2,35,0.45751633986928103,3,Identity: familiar,1,E1
615048,novelty,familiar,no_reward,behavior_response,2,89,0.16911021233569262,3,Identity: familiar,2,NR
615048,novelty,familiar,engaged_2,behavior_response,2,77,0.611336032388664,3,Identity: familiar,3,E2
615564,novelty,familiar,engaged_1,behavior_response,2,36,0.8888888888888888,3,Identity: familiar,1,E1
615564,novelty,familiar,no_reward,behavior_response,2,66,0.23625349487418454,3,Identity: familiar,2,NR
615564,novelty,familiar,engaged_2,behavior_response,2,59,0.6934889434889435,3,Identity: familiar,3,E2
