analysis_id,statistic_id,transition,estimate,ci_low,ci_high,p_value,adjusted_p_value,confidence_level,adjustment_method,multiplicity_family,n_mice,n_sessions,status,transition_order,transition_label
neural_transition_axis,reward_withdrawal_early_axis_real_minus_pseudo_mouse_mean,withdrawal,0.008318439033120264,-0.08287174220703371,0.09741294633493655,0.86865234375,0.86865234375,0.95,holm,neural_transition_primary,12,21,pass,1,Reward withdrawal
neural_transition_axis,reward_restoration_early_axis_real_minus_pseudo_mouse_mean,restoration,0.20425667967017305,0.12325467377376675,0.2846516321428445,0.0009765625,0.001953125,0.95,holm,neural_transition_primary,11,19,pass,2,Reward restoration
