subject_id,transition,real_effect,pseudo_effect,real_minus_pseudo,n_sessions,transition_order,transition_label
614547,withdrawal,-0.04510555715147646,0.21593116311306332,-0.2610367202645398,1,1,Reward withdrawal
614608,withdrawal,0.01556811214650938,0.10340278006812993,-0.08783466792162056,2,1,Reward withdrawal
615048,withdrawal,0.03727189834776405,-0.036211368131754004,0.07348326647951806,1,1,Reward withdrawal
615564,withdrawal,0.15413583029023556,0.03391455659912974,0.12022127369110583,2,1,Reward withdrawal
623319,withdrawal,0.03209703756366267,0.07036775773106319,-0.03827072016740052,2,1,Reward withdrawal
623322,withdrawal,0.22669096266728075,0.03962666671788546,0.1870642959493953,3,1,Reward withdrawal
626279,withdrawal,0.06263321871697149,0.02737459404732244,0.03525862466964905,1,1,Reward withdrawal
632295,withdrawal,-0.10651613849992891,0.13168964309348974,-0.23820578159341865,1,1,Reward withdrawal
638387,withdrawal,-0.09243681625946794,0.07144762820554487,-0.16388444446501282,1,1,Reward withdrawal
640887,withdrawal,0.15007955953655272,0.06042533156017215,0.08965422797638059,2,1,Reward withdrawal
640890,withdrawal,0.2598193195512145,-0.013581509066238083,0.27340082861745263,2,1,Reward withdrawal
642504,withdrawal,0.14516863333118749,0.03519754790525336,0.1099710854259341,3,1,Reward withdrawal
614547,restoration,0.2760896447108737,0.00023298122095577467,0.27585666348991794,1,2,Reward restoration
614608,restoration,0.10669384324267725,-0.043188684577583375,0.14988252782026062,2,2,Reward restoration
615048,restoration,0.09913804687791075,0.0531606565576674,0.04597739032024335,2,2,Reward restoration
615564,restoration,0.1282960700125032,0.049912867502582586,0.07838320250992062,1,2,Reward restoration
623319,restoration,-0.017126194619178498,-0.024446503455090793,0.007320308835912295,2,2,Reward restoration
623322,restoration,0.2659124697255073,-0.1487551509018749,0.4146676206273822,2,2,Reward restoration
626279,restoration,0.15395283951790245,-0.18289075050583947,0.3368435900237419,1,2,Reward restoration
632295,restoration,0.07565040418198668,-0.0158474880982728,0.09149789228025948,2,2,Reward restoration
640887,restoration,0.33522134631573425,-0.0491631044985283,0.38438445081426253,2,2,Reward restoration
640890,restoration,0.16823259935725993,0.0029865305015667476,0.16524606885569315,2,2,Reward restoration
642504,restoration,0.26738458422403094,-0.02937917657027872,0.29676376079430966,2,2,Reward restoration
