subject_id,transition,anchor_type,bin_center_minutes,mean_axis_score,n_sessions,n_trials,transition_order,transition_label,anchor_order,anchor_label
640887,withdrawal,real,-1.0,0.09642472881298525,2,5,1,Reward withdrawal,1,Real boundary
640887,withdrawal,real,1.0,0.07645905466072575,2,9,1,Reward withdrawal,1,Real boundary
640887,withdrawal,real,3.0,-0.21334215326657235,2,7,1,Reward withdrawal,1,Real boundary
640887,withdrawal,real,5.0,-0.24625377884493832,2,7,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,-5.0,0.10467135631593578,2,7,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,-3.0,0.14984606040861162,2,6,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,-1.0,0.04680898885774197,2,9,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,1.0,-0.06400032895114169,2,4,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,3.0,-0.18877257397347896,2,9,1,Reward withdrawal,1,Real boundary
640890,withdrawal,real,5.0,-0.20886761820241112,2,8,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,-5.0,0.07820502598881802,3,12,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,-3.0,0.02388539014059934,3,11,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,-1.0,0.000937961139052664,3,9,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,1.0,-0.09846564430405197,3,8,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,3.0,-0.07119906604587968,3,15,1,Reward withdrawal,1,Real boundary
642504,withdrawal,real,5.0,-0.16775065900955935,3,11,1,Reward withdrawal,1,Real boundary
614547,withdrawal,pseudo,-5.0,-0.001984553698236418,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
614547,withdrawal,pseudo,-3.0,0.07970475313955463,1,4,1,Reward withdrawal,2,Within-state pseudo-boundary
