subject_id,transition_id,transition_order,condition,n_sessions_inventory,n_sessions_in_analysis,real_step,n_sessions_real_step,n_real_window_trials,pseudo_step,n_sessions_pseudo_step,n_pseudo_window_trials,pseudo_controlled_step,n_sessions_pseudo_controlled_step,n_controlled_window_trials,real_latency_step_seconds,n_sessions_real_latency_step_seconds,n_real_window_latency_responses,pseudo_latency_step_seconds,n_sessions_pseudo_latency_step_seconds,n_pseudo_window_latency_responses,pseudo_controlled_latency_step_seconds,n_sessions_pseudo_controlled_latency_step_seconds,n_controlled_window_latency_responses,within_mouse_aggregation
611166,reward_withdrawal,1,go_minus_catch,4,4,-0.036446886446886456,4,114,0.5009920634920635,4,73,-0.5374389499389499,4,187,,0,0,,0,0,,0,0,equal_session_mean
611166,reward_restoration,2,catch,4,4,0.25,4,27,0.10416666666666666,4,36,0.14583333333333334,4,63,,0,0,,0,0,,0,0,equal_session_mean
611166,reward_restoration,2,go,4,4,0.24032738095238096,4,93,0.03702731092436975,4,116,0.2033000700280112,4,209,-0.14238000000011652,2,9,0.029037499999958527,4,14,-0.09645500000004859,2,16,equal_session_mean
611166,reward_restoration,2,go_minus_catch,4,4,-0.009672619047619013,4,120,-0.0671393557422969,4,152,0.05746673669467789,4,272,,0,0,,0,0,,0,0,equal_session_mean
612090,reward_withdrawal,1,catch,4,4,-0.125,4,32,-0.08333333333333333,4,28,-0.04166666666666667,4,60,,0,0,,0,0,,0,0,equal_session_mean
612090,reward_withdrawal,1,go,4,4,0.21683039183039182,4,95,-0.04771339771339768,4,80,0.2645437895437895,4,175,0.0077250000000077534,4,55,-0.04264000000001289,4,46,0.05036500000002064,4,101,equal_session_mean
612090,reward_withdrawal,1,go_minus_catch,4,4,0.3418303918303918,4,127,0.03561993561993565,4,108,0.30621045621045617,4,235,,0,0,,0,0,,0,0,equal_session_mean
612090,reward_restoration,2,catch,4,4,0.08333333333333333,4,34,-0.0875,4,38,0.17083333333333334,4,72,,0,0,-0.24792999999999665,1,4,,0,0,equal_session_mean
612090,reward_restoration,2,go,4,4,0.4988095238095238,4,103,0.07754696284108051,4,112,0.4212625609684433,4,215,0.18354000000022097,1,5,-0.020923749999951724,4,23,-0.00031499999977313564,1,9,equal_session_mean
612090,reward_restoration,2,go_minus_catch,4,4,0.4154761904761905,4,137,0.16504696284108053,4,150,0.25042922763511,4,287,,0,0,,0,0,,0,0,equal_session_mean
614547,reward_withdrawal,1,catch,3,3,-0.13888888888888887,3,23,-0.08333333333333333,3,16,-0.055555555555555546,3,39,-0.46719999999993433,1,2,,0,0,,0,0,equal_session_mean
614547,reward_withdrawal,1,go,3,3,0.1898148148148148,3,69,0.07575757575757576,3,37,0.11405723905723904,3,106,-0.00003499999998742472,3,46,0.0051666666666108085,3,29,-0.005201666666598233,3,75,equal_session_mean
614547,reward_withdrawal,1,go_minus_catch,3,3,0.32870370370370366,3,92,0.1590909090909091,3,53,0.16961279461279458,3,145,,0,0,,0,0,,0,0,equal_session_mean
614547,reward_restoration,2,catch,3,3,-0.15,3,20,-0.12222222222222223,3,30,-0.02777777777777778,3,50,,0,0,,0,0,,0,0,equal_session_mean
614547,reward_restoration,2,go,3,3,0.6569444444444444,3,65,0.016117216117216115,3,83,0.6408272283272284,3,148,0.17709500000000844,3,24,-0.03084666666651022,3,29,0.20794166666651867,3,53,equal_session_mean
614547,reward_restoration,2,go_minus_catch,3,3,0.8069444444444445,3,85,0.13833943833943832,3,113,0.6686050061050062,3,198,,0,0,,0,0,,0,0,equal_session_mean
614608,reward_withdrawal,1,catch,4,4,0.0625,4,34,0.10416666666666666,4,29,-0.04166666666666666,4,63,,0,0,0.017939999999953216,1,2,,0,0,equal_session_mean
614608,reward_withdrawal,1,go,4,4,0.04553571428571426,4,93,0.016161616161616182,4,77,0.02937409812409808,4,170,-0.07134124999996061,4,55,0.03900124999995569,4,58,-0.1103424999999163,4,113,equal_session_mean
614608,reward_withdrawal,1,go_minus_catch,4,4,-0.016964285714285737,4,127,-0.08800505050505047,4,106,0.07104076479076474,4,233,,0,0,,0,0,,0,0,equal_session_mean
614608,reward_restoration,2,catch,4,4,0.08333333333333334,4,29,0.0,4,39,0.08333333333333334,4,68,,0,0,,0,0,,0,0,equal_session_mean
614608,reward_restoration,2,go,4,4,0.5085414585414585,4,96,0.001365301365301358,4,108,0.5071761571761572,4,204,0.016643333333301296,3,25,0.033307500000034906,2,19,-0.03763750000013033,2,36,equal_session_mean
614608,reward_restoration,2,go_minus_catch,4,4,0.42520812520812523,4,125,0.001365301365301358,4,147,0.42384282384282385,4,272,,0,0,,0,0,,0,0,equal_session_mean
615047,reward_withdrawal,1,catch,4,4,-0.16666666666666669,4,30,0.0,4,27,-0.16666666666666669,4,57,,0,0,,0,0,,0,0,equal_session_mean
615047,reward_withdrawal,1,go,4,4,0.04080710955710957,4,97,-0.012660256410256407,4,87,0.053467365967365975,4,184,-0.10283250000000521,4,31,0.03804833333323169,3,27,-0.18304166666658261,3,54,equal_session_mean
615047,reward_withdrawal,1,go_minus_catch,4,4,0.20747377622377625,4,127,-0.012660256410256407,4,114,0.22013403263403267,4,241,,0,0,,0,0,,0,0,equal_session_mean
615047,reward_restoration,2,catch,4,4,-0.19999999999999998,3,21,-0.1,4,37,-0.06666666666666665,3,50,,0,0,,0,0,,0,0,equal_session_mean
615047,reward_restoration,2,go,4,4,0.06666666666666668,4,82,-0.04012133699633701,4,107,0.1067880036630037,4,189,,0,0,0.08332500000003051,4,25,,0,0,equal_session_mean
615047,reward_restoration,2,go_minus_catch,4,4,0.3333333333333333,3,87,0.05987866300366299,4,144,0.20221306471306474,3,197,,0,0,,0,0,,0,0,equal_session_mean
615048,reward_withdrawal,1,catch,4,4,-0.04821428571428571,4,49,0.125,4,39,-0.1732142857142857,4,88,0.06754000000000815,1,3,,0,0,,0,0,equal_session_mean
615048,reward_withdrawal,1,go,4,4,0.06137751137751135,4,79,-0.07242063492063491,4,63,0.13379814629814626,4,142,0.007351249999913989,4,29,0.0082162499999896,4,44,-0.0008650000000756108,4,73,equal_session_mean
615048,reward_withdrawal,1,go_minus_catch,4,4,0.10959179709179706,4,128,-0.1974206349206349,4,102,0.30701243201243195,4,230,,0,0,,0,0,,0,0,equal_session_mean
615048,reward_restoration,2,catch,4,4,0.1,4,43,-0.08125,4,52,0.18125000000000002,4,95,,0,0,,0,0,,0,0,equal_session_mean
615048,reward_restoration,2,go,4,4,0.4297077922077922,4,69,-0.1446574259074259,4,93,0.5743652181152181,4,162,-0.05630666666653875,3,15,-0.017609999999990578,2,9,-0.2503799999997227,1,8,equal_session_mean
615048,reward_restoration,2,go_minus_catch,4,4,0.3297077922077922,4,112,-0.0634074259074259,4,145,0.39311521811521805,4,257,,0,0,,0,0,,0,0,equal_session_mean
615563,reward_withdrawal,1,catch,3,3,-0.05555555555555555,3,36,-0.022222222222222237,3,34,-0.033333333333333326,3,70,,0,0,,0,0,,0,0,equal_session_mean
615563,reward_withdrawal,1,go,3,3,0.3148148148148148,3,63,-0.14604377104377106,3,60,0.4608585858585859,3,123,0.06345500000001418,3,45,0.027546666666571202,3,52,0.035908333333442975,3,97,equal_session_mean
615563,reward_withdrawal,1,go_minus_catch,3,3,0.3703703703703704,3,99,-0.12382154882154882,3,94,0.49419191919191924,3,193,,0,0,,0,0,,0,0,equal_session_mean
