subject_id,source_region,target_region,reward_block,n_sessions,source_added_r2,shift_source_added_r2,real_minus_shift_source_added_r2,n_trials
614547,HPF,Isocortex,engaged_1,1,-0.020605971107420018,-0.024783967899959514,0.004177996792539496,15
614547,HPF,Isocortex,engaged_2,1,-0.015649886439911498,-0.01818055334646118,0.0025306669065496834,15
614547,HPF,Isocortex,no_reward,1,-0.002287174622622623,-0.0008145136144234177,-0.0014726610081992053,15
614608,HPF,Isocortex,engaged_1,2,-0.014517009902659028,-0.007559354850161404,-0.006957655052497624,41
614608,HPF,Isocortex,engaged_2,2,-0.0028371751670498435,-0.008613582479911452,0.005776407312861609,41
614608,HPF,Isocortex,no_reward,2,-0.017262599583789173,-0.0034715111957284717,-0.013791088388060702,41
615048,HPF,Isocortex,engaged_1,2,-0.005691891825337747,-0.007504463389513771,0.0018125715641760243,35
615048,HPF,Isocortex,engaged_2,2,0.0008555896292182785,-0.009286051055551692,0.01014164068476997,35
615048,HPF,Isocortex,no_reward,2,-0.015655828719524867,-0.018434436516642894,0.0027786077971180267,35
615564,HPF,Isocortex,engaged_1,2,-0.010141254076665107,-0.0028229794200589353,-0.007318274656606172,33
615564,HPF,Isocortex,engaged_2,2,0.002811571185179218,-0.0063514038351157875,0.009162975020295006,33
615564,HPF,Isocortex,no_reward,2,-0.034268689336635794,0.0006878055435075581,-0.03495649488014335,33
623319,HPF,Isocortex,engaged_1,1,-0.012643061679271206,-0.003924717386778354,-0.008718344292492852,12
623319,HPF,Isocortex,engaged_2,1,-0.05583453026490115,0.002930022716920444,-0.058764552981821594,12
623319,HPF,Isocortex,no_reward,1,-0.037131771738083685,-0.13153752917289685,0.09440575743481316,12
623322,HPF,Isocortex,engaged_1,3,-0.004524189676791468,-0.01141082021273391,0.0068866305359424436,67
623322,HPF,Isocortex,engaged_2,3,-0.0026536804654607358,-0.002903283176363088,0.0002496027109023524,67
623322,HPF,Isocortex,no_reward,3,-0.00730997602548622,0.010591026088647667,-0.017901002114133886,67
626279,HPF,Isocortex,engaged_1,1,-0.0075974602034506455,0.0016607033313925657,-0.009258163534843211,21
626279,HPF,Isocortex,engaged_2,1,-0.00689149917060583,-0.030074555746078424,0.023183056575472594,21
626279,HPF,Isocortex,no_reward,1,0.011637567365082924,0.015124956341955986,-0.0034873889768730626,21
632295,HPF,Isocortex,engaged_1,2,-0.006367246307152852,-0.0013689430102687417,-0.00499830329688411,26
632295,HPF,Isocortex,engaged_2,2,-0.02318721896042525,-0.04954597587644821,0.026358756916022963,26
632295,HPF,Isocortex,no_reward,2,0.039594580461590034,0.043485026615944555,-0.003890446154354521,26
638387,HPF,Isocortex,engaged_1,1,-0.013284093184171342,-0.010582138986409584,-0.002701954197761758,21
638387,HPF,Isocortex,engaged_2,1,0.0051834840685053285,-0.009897754426846817,0.015081238495352145,21
638387,HPF,Isocortex,no_reward,1,-0.005189803739843235,-0.017218140222542533,0.012028336482699298,21
640887,HPF,Isocortex,engaged_1,2,-0.0096700253774758,-0.002613508847905621,-0.007056516529570178,48
640887,HPF,Isocortex,engaged_2,2,-0.004375615249048892,-0.004431747322515223,0.000056132073466330645,48
640887,HPF,Isocortex,no_reward,2,-0.008985763128175395,-0.006978113009263653,-0.0020076501189117413,48
640890,HPF,Isocortex,engaged_1,2,-0.006319476416051295,-0.013658383932904139,0.007338907516852844,49
640890,HPF,Isocortex,engaged_2,2,-0.007266815428318474,-0.008400016624005469,0.0011332011956869947,49
640890,HPF,Isocortex,no_reward,2,-0.006153432443263329,-0.0073707370763628766,0.0012173046330995474,49
642504,HPF,Isocortex,engaged_1,2,-0.00014769946836457049,-0.02748698624030066,0.02733928677193609,34
642504,HPF,Isocortex,engaged_2,2,-0.00425952952116293,-0.0030153470669778137,-0.0012441824541851165,34
642504,HPF,Isocortex,no_reward,2,-0.00627699791231745,-0.012052671842715912,0.005775673930398462,34
614608,HPF,MB,engaged_1,2,-0.010636085452502941,-0.007672385126098191,-0.00296370032640475,41
614608,HPF,MB,engaged_2,2,-0.01046577539374538,-0.02709163813197185,0.01662586273822647,41
614608,HPF,MB,no_reward,2,-0.010205981614432591,-0.004927745702346664,-0.005278235912085927,41
615048,HPF,MB,engaged_1,2,-0.008139862644947538,-0.0057275138873292275,-0.00241234875761831,35
615048,HPF,MB,engaged_2,2,-0.007590665258017548,-0.00617348456099176,-0.0014171806970257883,35
615048,HPF,MB,no_reward,2,-0.02442218590848866,-0.028034494501873952,0.003612308593385294,35
615564,HPF,MB,engaged_1,1,-0.003367053292274158,0.0057560329163552915,-0.00912308620862945,17
615564,HPF,MB,engaged_2,1,-0.03424808756587561,-0.010908485477435725,-0.02333960208843988,17
615564,HPF,MB,no_reward,1,-0.0063099147511594955,-0.055184031884913276,0.04887411713375378,17
623319,HPF,MB,engaged_1,1,-0.01196042175765788,-0.006456783464327431,-0.005503638293330448,12
623319,HPF,MB,engaged_2,1,0.003093070038429513,-0.01987450347327857,0.022967573511708084,12
623319,HPF,MB,no_reward,1,-0.02668114265731436,0.012670051926576664,-0.039351194583891025,12
623322,HPF,MB,engaged_1,1,-0.01767305214455006,0.00029734165118167066,-0.01797039379573173,22
623322,HPF,MB,engaged_2,1,-0.022375889309793395,-0.005166968677590367,-0.01720892063220303,22
623322,HPF,MB,no_reward,1,-0.02492824516244707,-0.009873817143313035,-0.015054428019134036,22
626279,HPF,MB,engaged_1,1,-0.017163854740138706,-0.009371854708553506,-0.0077920000315852,21
626279,HPF,MB,engaged_2,1,-0.03190523386342936,0.016023652313390424,-0.047928886176819785,21
626279,HPF,MB,no_reward,1,0.023659933359801877,0.009988053317854018,0.01367188004194786,21
632295,HPF,MB,engaged_1,1,0.030592178687632532,-0.02590579286623107,0.0564979715538636,14
632295,HPF,MB,engaged_2,1,0.005621690740897911,-0.018174943070926708,0.02379663381182462,14
632295,HPF,MB,no_reward,1,-0.00028675726700155835,0.00008961512667604588,-0.0003763723936776042,14
640887,HPF,MB,engaged_1,1,-0.017979470975135747,-0.005466222031093926,-0.012513248944041822,23
640887,HPF,MB,engaged_2,1,-0.006930145425340095,-0.007691515993684339,0.000761370568344244,23
640887,HPF,MB,no_reward,1,-0.17811469946273806,-0.18293507020991795,0.004820370747179892,23
640890,HPF,MB,engaged_1,1,-0.023959465617144793,-0.003519891928847052,-0.02043957368829774,27
640890,HPF,MB,engaged_2,1,-0.014341735243947662,-0.017088899477516573,0.0027471642335689106,27
640890,HPF,MB,no_reward,1,-0.008605225001297123,-0.007114292330835381,-0.001490932670461742,27
642504,HPF,MB,engaged_1,2,-0.00014461330650133997,-0.011685236084639117,0.011540622778137777,34
642504,HPF,MB,engaged_2,2,-0.011549799352618906,-0.01700142709141106,0.005451627738792153,34
642504,HPF,MB,no_reward,2,-0.012105348480298594,0.010801206188721324,-0.02290655466901992,34
614547,HPF,STR,engaged_1,1,-0.0029804136618682975,-0.007039680745865806,0.004059267083997509,15
614547,HPF,STR,engaged_2,1,0.007876947438574478,-0.007573076498833209,0.015450023937407686,15
614547,HPF,STR,no_reward,1,-0.006458117143319231,-0.0028684554082304414,-0.0035896617350887894,15
614608,HPF,STR,engaged_1,2,-0.010502493357904763,-0.003655589626299749,-0.006846903731605014,41
614608,HPF,STR,engaged_2,2,-0.01223082444937812,-0.03625778366344734,0.02402695921406922,41
614608,HPF,STR,no_reward,2,0.004070229904258593,-0.012085652298947314,0.016155882203205907,41
615048,HPF,STR,engaged_1,2,-0.0008852813652881486,0.004350034840450212,-0.005235316205738361,35
615048,HPF,STR,engaged_2,2,-0.002094410269600666,0.005986949072224301,-0.008081359341824967,35
615048,HPF,STR,no_reward,2,-0.0041572777945665385,-0.016775407631406336,0.012618129836839798,35
615564,HPF,STR,engaged_1,2,-0.004875972407333173,-0.05217577485137015,0.047299802444036976,33
615564,HPF,STR,engaged_2,2,0.008632833757422187,0.006799120170558837,0.0018337135868633503,33
615564,HPF,STR,no_reward,2,-0.009965454861649514,-0.004208704127946439,-0.0057567507337030754,33
623319,HPF,STR,engaged_1,1,-0.0021719065416387906,-0.014335710440110283,0.012163803898471492,12
623319,HPF,STR,engaged_2,1,-0.016333529281762127,-0.0037776984002575453,-0.012555830881504582,12
623319,HPF,STR,no_reward,1,-0.10323739981151314,-0.02691072328421862,-0.07632667652729452,12
623322,HPF,STR,engaged_1,1,0.00015950494851568742,-0.00966294117806521,0.009822446126580897,22
623322,HPF,STR,engaged_2,1,0.00643866948640659,-0.004913679376319147,0.011352348862725736,22
623322,HPF,STR,no_reward,1,-0.000565052276548017,-0.008359687937777749,0.007794635661229732,22
632295,HPF,STR,engaged_1,2,0.005053572070014389,-0.005732949312999502,0.010786521383013892,26
632295,HPF,STR,engaged_2,2,-0.018454204220416326,-0.003412947178504988,-0.015041257041911338,26
632295,HPF,STR,no_reward,2,-0.020254284905704523,-0.04154130086911595,0.021287015963411426,26
638387,HPF,STR,engaged_1,1,-0.021210876481317253,0.008210158068007845,-0.029421034549325098,21
638387,HPF,STR,engaged_2,1,-0.02626086346939771,-0.010301848176110906,-0.015959015293286805,21
638387,HPF,STR,no_reward,1,0.0037545965520400237,-0.0013023980156459114,0.005056994567685935,21
640887,HPF,STR,engaged_1,2,-0.004904112378551373,-0.0059079162383053885,0.0010038038597540155,48
640887,HPF,STR,engaged_2,2,-0.006393816006973141,-0.0033139227287512507,-0.00307989327822189,48
640887,HPF,STR,no_reward,2,-0.02606225000666612,-0.03555783097774107,0.009495580971074946,48
640890,HPF,STR,engaged_1,2,-0.004690767304337817,0.007322441163212623,-0.01201320846755044,49
640890,HPF,STR,engaged_2,2,-0.03741197494690984,-0.0296334525111121,-0.007778522435797741,49
640890,HPF,STR,no_reward,2,-0.014747930940889942,-0.00812454428276349,-0.006623386658126451,49
642504,HPF,STR,engaged_1,2,-0.014132748812610896,-0.011556721212046817,-0.002576027600564079,34
642504,HPF,STR,engaged_2,2,-0.015864231177242005,-0.008213571218500804,-0.007650659958741202,34
642504,HPF,STR,no_reward,2,0.0004333453236390894,-0.006232608959258312,0.006665954282897402,34
614547,HPF,TH,engaged_1,1,-0.019602022204888048,-0.014623513007922528,-0.004978509196965519,15
614547,HPF,TH,engaged_2,1,-0.012377708589414782,-0.02696143423190689,0.014583725642492107,15
614547,HPF,TH,no_reward,1,-0.008695618898235558,-0.002379263117887276,-0.006316355780348282,15
614608,HPF,TH,engaged_1,2,-0.0016404841921053848,-0.007809837007512366,0.006169352815406981,41
614608,HPF,TH,engaged_2,2,-0.01616748376391358,-0.00965485542334088,-0.0065126283405727015,41
614608,HPF,TH,no_reward,2,-0.01214274194857079,-0.0008470403213300948,-0.011295701627240695,41
615048,HPF,TH,engaged_1,2,-0.01681788044557686,-0.005414645746081415,-0.011403234699495446,35
615048,HPF,TH,engaged_2,2,-0.004846395845566898,-0.0025290407410871185,-0.002317355104479779,35
615048,HPF,TH,no_reward,2,0.001953870996433682,-0.0032921967602891344,0.0052460677567228164,35
615564,HPF,TH,engaged_1,2,-0.005235287720857962,-0.0008333812797072793,-0.0044019064411506825,33
615564,HPF,TH,engaged_2,2,-0.011045531602494496,-0.007084618859555081,-0.003960912742939415,33
615564,HPF,TH,no_reward,2,-0.03640848103592753,-0.008035073361267908,-0.028373407674659623,33
623319,HPF,TH,engaged_1,1,-0.009891718021070584,-0.001598924926176748,-0.008292793094893836,12
623319,HPF,TH,engaged_2,1,-0.010769906628496195,0.005701966337528397,-0.016471872966024592,12
623319,HPF,TH,no_reward,1,-0.04513109946563931,-0.009165383583097042,-0.03596571588254227,12
623322,HPF,TH,engaged_1,3,-0.019673894355563215,-0.004411085874417704,-0.01526280848114551,67
623322,HPF,TH,engaged_2,3,-0.006899723849789911,-0.0031530408425085956,-0.003746683007281315,67
623322,HPF,TH,no_reward,3,-0.01417754739864859,-0.0069679058964785545,-0.007209641502170035,67
626279,HPF,TH,engaged_1,1,0.0049629912490524175,-0.007940976357105112,0.01290396760615753,21
