_nwb_path,subject_id,ecephys_session_id,recording_day,session_number,is_technically_valid,is_good_session,engaged_1_start_time,engaged_1_stop_time,no_reward_start_time,no_reward_stop_time,engaged_2_start_time,engaged_2_stop_time,transition_id,transition_order,pre_block,post_block,pseudo_block,effect_direction_multiplier,real_boundary_time,pseudo_boundary_time,real_pre_coverage_start,real_pre_coverage_stop,real_post_coverage_start,real_post_coverage_stop,pseudo_coverage_start,pseudo_coverage_stop,boundary_values_valid,latency_direction_multiplier,real_time_window_complete,pseudo_time_window_complete,time_window_seconds,time_bin_width_seconds,trial_window_count,trial_bin_width,effect_window_seconds,pseudo_boundary_definition,included_in_transition_analysis,boundary_status
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,1,true,false,37.24345,925.30105,925.43418,2424.73814,2424.73814,3937.45349,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,925.43418,481.27225000000004,37.24345,925.43418,925.43418,2424.73814,37.24345,925.30105,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,1,true,false,37.24345,925.30105,925.43418,2424.73814,2424.73814,3937.45349,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2424.73814,1675.0861599999998,925.43418,2424.73814,2424.73814,3937.45349,925.43418,2424.73814,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,3,true,false,36.91214,924.23686,924.98704,2420.5043,2420.52077,3942.27665,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,924.98704,480.5745,36.91214,924.98704,924.98704,2420.5043,36.91214,924.23686,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,3,true,false,36.91214,924.23686,924.98704,2420.5043,2420.52077,3942.27665,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.5043,1672.74567,924.98704,2420.5043,2420.5043,3942.27665,924.98704,2420.5043,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,4,true,false,37.73275,922.62181,922.87188,2425.16114,2425.91128,3941.72979,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,922.87188,480.17728,37.73275,922.87188,922.87188,2425.16114,37.73275,922.62181,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,4,true,false,37.73275,922.62181,922.87188,2425.16114,2425.91128,3941.72979,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2425.16114,1674.0165100000002,922.87188,2425.16114,2425.16114,3941.72979,922.87188,2425.16114,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,2,true,false,37.75824,923.91584,932.68925,2425.13751,2425.90412,3944.6748,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,932.68925,480.83704,37.75824,932.68925,932.68925,2425.13751,37.75824,923.91584,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,2,true,false,37.75824,923.91584,932.68925,2425.13751,2425.90412,3944.6748,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2425.13751,1678.91338,932.68925,2425.13751,2425.13751,3944.6748,932.68925,2425.13751,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,2,true,false,37.60836,925.78364,926.4674,2418.21497,2427.22275,3939.35388,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,926.4674,481.69599999999997,37.60836,926.4674,926.4674,2418.21497,37.60836,925.78364,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,2,true,false,37.60836,925.78364,926.4674,2418.21497,2427.22275,3939.35388,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2418.21497,1672.341185,926.4674,2418.21497,2418.21497,3939.35388,926.4674,2418.21497,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,4,true,false,37.28827,924.94789,925.46426,2420.8315,2420.84802,3937.31501,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,925.46426,481.11808,37.28827,925.46426,925.46426,2420.8315,37.28827,924.94789,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,4,true,false,37.28827,924.94789,925.46426,2420.8315,2420.84802,3937.31501,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.8315,1673.14788,925.46426,2420.8315,2420.8315,3937.31501,925.46426,2420.8315,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,1,true,false,38.39013,923.82976,933.2712,2420.36547,2421.11527,3945.1584,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,933.2712,481.109945,38.39013,933.2712,933.2712,2420.36547,38.39013,923.82976,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,1,true,false,38.39013,923.82976,933.2712,2420.36547,2421.11527,3945.1584,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.36547,1676.8183350000002,933.2712,2420.36547,2420.36547,3945.1584,933.2712,2420.36547,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,3,true,false,37.50336,927.08001,927.09616,2424.89864,2425.64905,3937.67971,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,927.09616,482.29168500000003,37.50336,927.09616,927.09616,2424.89864,37.50336,927.08001,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,3,true,false,37.50336,927.08001,927.09616,2424.89864,2425.64905,3937.67971,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2424.89864,1675.9974,927.09616,2424.89864,2424.89864,3937.67971,927.09616,2424.89864,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,2,true,false,37.66674,922.03887,922.7891,2420.45843,2421.20868,3938.06102,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,922.7891,479.852805,37.66674,922.7891,922.7891,2420.45843,37.66674,922.03887,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
