_nwb_path,subject_id,ecephys_session_id,recording_day,audit_scope,reward_block,block_order,n_trials,n_trials_with_valid_lick_vectors,n_trials_with_invalid_lick_vectors,n_trials_with_valid_response_event,n_trials_without_valid_response_event,n_trials_with_duplicate_lick_timestamps,n_trials_with_duplicate_response_window_licks,n_raw_lick_timestamps,n_unique_lick_timestamps,n_duplicate_lick_timestamps,n_raw_response_window_licks,n_unique_response_window_licks,n_duplicate_response_window_licks,n_response_window_licks,canonical_response_count_is_deduplicated,total_duplicate_count_consistent,response_window_duplicate_count_consistent,fraction_trials_with_duplicate_lick_timestamps,lick_timestamp_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,1182871514,EPHYS_3,session_block,no_reward,2,160,160,0,160,0,0,0,225,225,0,43,43,0,43,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,1182871514,EPHYS_3,session_block,engaged_2,3,290,290,0,92,198,0,0,700,700,0,69,69,0,69,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,session,all,0,468,468,0,384,84,0,0,616,616,0,89,89,0,89,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,session_block,engaged_1,1,144,144,0,67,77,0,0,492,492,0,72,72,0,72,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,session_block,no_reward,2,157,157,0,157,0,0,0,93,93,0,16,16,0,16,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,session_block,engaged_2,3,167,167,0,160,7,0,0,31,31,0,1,1,0,1,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,session,all,0,553,553,0,327,226,0,0,1142,1142,0,163,163,0,163,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,session_block,engaged_1,1,148,148,0,58,90,0,0,426,426,0,52,52,0,52,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,session_block,no_reward,2,155,155,0,155,0,0,0,13,13,0,3,3,0,3,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,session_block,engaged_2,3,250,250,0,114,136,0,0,703,703,0,108,108,0,108,true,true,true,0.0,pass
