reward_block,n_trials,n_source_units,n_target_units,base_r2,full_r2,source_added_r2,shift_full_r2,shift_source_added_r2,real_minus_shift_source_added_r2,outer_real_hyperparameters,outer_shift_hyperparameters,model_status,_nwb_path,subject_id,ecephys_session_id,source_region,target_region,source_unit_table_indices,target_unit_table_indices,nuisance_covariates
engaged_2,17,24,24,0.026658548715288055,0.03990214292488237,0.013243594209594312,0.017302779127842505,-0.00935576958744555,0.022599363797039862,"[[100.0, 10.0, 1], [100.0, 10.0, 1], [100.0, 100.0, 1], [100.0, 10.0, 1]]","[[100.0, 10.0, 1], [100.0, 10.0, 1], [100.0, 100.0, 1], [100.0, 10.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,1197725774,HPF,Isocortex,"[1127, 1128, 1121, 1826, 710, 678, 699, 1118, 1795, 680, 1428, 1099, 673, 674, 1429, 1483, 1453, 1048, 1485, 1077, 701, 656, 668, 647]","[741, 1187, 778, 1574, 1920, 743, 1913, 465, 1933, 1951, 228, 722, 1936, 1579, 1984, 2210, 1985, 824, 1912, 1900, 289, 1174, 1642, 1600]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,17,24,24,-0.08196322880430151,-0.08578857019867003,-0.00382534139436852,-0.08549115662091977,-0.0035279278166182593,-0.00029741357775026067,"[[10.0, 100.0, 4], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 2]]","[[10.0, 100.0, 4], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 2]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,1197725774,HPF,Isocortex,"[1127, 1128, 1121, 1826, 710, 678, 699, 1118, 1795, 680, 1428, 1099, 673, 674, 1429, 1483, 1453, 1048, 1485, 1077, 701, 656, 668, 647]","[741, 1187, 778, 1574, 1920, 743, 1913, 465, 1933, 1951, 228, 722, 1936, 1579, 1984, 2210, 1985, 824, 1912, 1900, 289, 1174, 1642, 1600]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,18,24,24,0.048681638224992385,0.04232078736059652,-0.006360850864395862,0.03961479087940767,-0.009066847345584716,0.002705996481188855,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 1]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,1197514969,HPF,Isocortex,"[1432, 576, 567, 1532, 1429, 1393, 614, 580, 554, 597, 1366, 1410, 1457, 632, 1427, 1481, 1501, 574, 774, 1426, 1434, 606, 1356, 1513]","[1892, 637, 1897, 326, 1889, 1890, 640, 1594, 1065, 2310, 1032, 1084, 242, 231, 647, 646, 739, 732, 1086, 322, 1900, 2431, 1951, 318]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,18,24,24,-0.00023373738748144746,-0.011766152338639202,-0.011532414951157755,-0.00945006991113928,-0.009216332523657833,-0.0023160824274999214,"[[100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 100.0, 1], [100.0, 100.0, 1]]","[[100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 100.0, 1], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,1197514969,HPF,Isocortex,"[1432, 576, 567, 1532, 1429, 1393, 614, 580, 554, 597, 1366, 1410, 1457, 632, 1427, 1481, 1501, 574, 774, 1426, 1434, 606, 1356, 1513]","[1892, 637, 1897, 326, 1889, 1890, 640, 1594, 1065, 2310, 1032, 1084, 242, 231, 647, 646, 739, 732, 1086, 322, 1900, 2431, 1951, 318]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,18,24,24,-0.018047353652224984,-0.0455336696969062,-0.027486316044681214,-0.05138829886889251,-0.03334094521666753,0.005854629171986314,"[[100.0, 10.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [10.0, 10.0, 8]]","[[100.0, 10.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [10.0, 10.0, 8]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,1197514969,HPF,Isocortex,"[1432, 576, 567, 1532, 1429, 1393, 614, 580, 554, 597, 1366, 1410, 1457, 632, 1427, 1481, 1501, 574, 774, 1426, 1434, 606, 1356, 1513]","[1892, 637, 1897, 326, 1889, 1890, 640, 1594, 1065, 2310, 1032, 1084, 242, 231, 647, 646, 739, 732, 1086, 322, 1900, 2431, 1951, 318]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,16,24,24,0.04121008604050813,0.02455383776623621,-0.016656248274271923,0.03717313178941117,-0.004036954251096958,-0.012619294023174965,"[[100.0, 100.0, 2], [100.0, 100.0, 2], [100.0, 100.0, 8], [100.0, 100.0, 8]]","[[100.0, 100.0, 2], [100.0, 100.0, 2], [100.0, 100.0, 8], [100.0, 100.0, 8]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/3ae/b2f/3aeb2f0d-c1c1-4b50-964b-61caffa07ee9,615564,1198796984,HPF,Isocortex,"[1157, 1154, 378, 1113, 1117, 798, 1061, 799, 316, 1184, 767, 1176, 337, 365, 377, 787, 783, 322, 1151, 1162, 1436, 1183, 373, 1178]","[129, 1589, 1577, 1586, 1580, 1581, 99, 1247, 1540, 1198, 1527, 806, 1598, 66, 128, 1575, 844, 49, 1544, 849, 1348, 828, 422, 101]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,16,24,24,0.04080591398981992,0.03126302077155885,-0.009542893218261073,0.03756214681378911,-0.0032437671760308096,-0.006299126042230263,"[[100.0, 100.0, 1], [100.0, 100.0, 2], [100.0, 100.0, 1], [100.0, 100.0, 1]]","[[100.0, 100.0, 1], [100.0, 100.0, 2], [100.0, 100.0, 1], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/3ae/b2f/3aeb2f0d-c1c1-4b50-964b-61caffa07ee9,615564,1198796984,HPF,Isocortex,"[1157, 1154, 378, 1113, 1117, 798, 1061, 799, 316, 1184, 767, 1176, 337, 365, 377, 787, 783, 322, 1151, 1162, 1436, 1183, 373, 1178]","[129, 1589, 1577, 1586, 1580, 1581, 99, 1247, 1540, 1198, 1527, 806, 1598, 66, 128, 1575, 844, 49, 1544, 849, 1348, 828, 422, 101]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,16,24,24,0.05677219560445945,0.05026655683085468,-0.006505638773604772,0.05535009768858368,-0.0014220979158757752,-0.0050835408577289964,"[[100.0, 100.0, 8], [100.0, 100.0, 4], [100.0, 100.0, 1], [100.0, 100.0, 1]]","[[100.0, 100.0, 8], [100.0, 100.0, 4], [100.0, 100.0, 1], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/3ae/b2f/3aeb2f0d-c1c1-4b50-964b-61caffa07ee9,615564,1198796984,HPF,Isocortex,"[1157, 1154, 378, 1113, 1117, 798, 1061, 799, 316, 1184, 767, 1176, 337, 365, 377, 787, 783, 322, 1151, 1162, 1436, 1183, 373, 1178]","[129, 1589, 1577, 1586, 1580, 1581, 99, 1247, 1540, 1198, 1527, 806, 1598, 66, 128, 1575, 844, 49, 1544, 849, 1348, 828, 422, 101]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,17,24,24,0.06553076695220972,0.06190450707315143,-0.003626259879058291,0.0639217623631888,-0.0016090045890209126,-0.0020172552900373786,"[[100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 2], [100.0, 100.0, 2]]","[[100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 2], [100.0, 100.0, 2]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/635/68b/63568b8b-5957-4045-b90d-d75108909249,615564,1198995158,HPF,Isocortex,"[611, 551, 1682, 1598, 1697, 609, 1659, 1744, 1736, 1720, 555, 544, 1651, 1644, 1649, 605, 597, 1641, 1657, 1660, 607, 547, 1375, 1645]","[1843, 2375, 1790, 698, 2274, 2403, 1877, 2382, 1847, 683, 1844, 2469, 2342, 112, 1450, 2476, 1836, 696, 1806, 674, 1446, 2432, 1441, 2453]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,17,24,24,0.01658046226843657,0.03174649785705608,0.015166035588619509,0.007121421774235803,-0.009459040494200766,0.024625076082820274,"[[100.0, 100.0, 4], [100.0, 100.0, 8], [100.0, 100.0, 4], [100.0, 100.0, 8]]","[[100.0, 100.0, 4], [100.0, 100.0, 8], [100.0, 100.0, 4], [100.0, 100.0, 8]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/635/68b/63568b8b-5957-4045-b90d-d75108909249,615564,1198995158,HPF,Isocortex,"[611, 551, 1682, 1598, 1697, 609, 1659, 1744, 1736, 1720, 555, 544, 1651, 1644, 1649, 605, 597, 1641, 1657, 1660, 607, 547, 1375, 1645]","[1843, 2375, 1790, 698, 2274, 2403, 1877, 2382, 1847, 683, 1844, 2469, 2342, 112, 1450, 2476, 1836, 696, 1806, 674, 1446, 2432, 1441, 2453]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
