subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
604914,reward_restoration,2,pseudo,go,-1,no_reward,-8,-1,-4.5,2,2,2,0.5,12,6,1,0.17820499999993444,6,0,1,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,1,no_reward,1,8,4.5,2,2,2,0.5,12,6,1,0.17814000000009855,6,0,1,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,2,no_reward,9,16,12.5,2,2,2,0.5833333333333334,12,7,2,0.4034624999999892,7,0,0,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,3,no_reward,17,24,20.5,2,2,2,0.5,12,6,1,0.17843499999992218,6,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-3,no_reward,-24,-17,-20.5,2,2,2,0.5,2,1,1,0.1785700000000361,1,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-2,no_reward,-16,-9,-12.5,2,2,2,0.5,6,3,1,0.17797999999993408,3,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-1,no_reward,-8,-1,-4.5,2,2,2,0.5,2,1,1,0.17552999999998065,1,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,1,engaged_2,1,8,4.5,2,2,1,0.0,3,0,0,,0,1,2,observed,equal_session_mean
604914,reward_restoration,2,real,catch,2,engaged_2,9,16,12.5,2,2,2,0.5,5,3,1,0.17812000000003536,3,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,3,engaged_2,17,24,20.5,2,2,2,0.5,4,2,1,0.17785499999990861,2,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,-3,no_reward,-24,-17,-20.5,2,2,2,0.5714285714285714,14,8,2,0.461954999999989,8,0,0,observed,equal_session_mean
604914,reward_restoration,2,real,go,-2,no_reward,-16,-9,-12.5,2,2,2,0.5,10,5,1,0.17826999999988402,5,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,-1,no_reward,-8,-1,-4.5,2,2,2,0.5,14,7,1,0.1784299999999348,7,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,1,engaged_2,1,8,4.5,2,2,2,0.5,13,8,1,0.17855999999983396,8,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,2,engaged_2,9,16,12.5,2,2,2,0.5,11,5,1,0.1778599999997823,5,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,3,engaged_2,17,24,20.5,2,2,2,0.5,12,6,1,0.18650000000002365,6,0,1,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-24,-17,-20.5,4,4,2,0.0,5,0,0,,0,2,4,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-16,-9,-12.5,4,4,2,0.5,3,2,1,0.32804000000000144,2,2,3,observed,equal_session_mean
