_nwb_path,subject_id,cohort_assignment,allocation_status,session_behavior_eligible,mouse_behavior_eligible,analysis_included,analysis_exclusion_reason,session_exclusion_reasons,split_seed,confirmation_access_policy,neural_activity_used_for_allocation,sex,genotype,project_code,recording_day,session_number,asset_id,path,ecephys_session_id,behavior_session_id,date_of_acquisition,recording_day_number
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;no_reward_response_above_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;no_reward_response_above_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,f5742b37-f377-4460-b7be-946b0058aab9,sub-608672/sub-608672_ses-20220502T221921.nwb,1174553025,1174585672,2022-05-02 15:19:21.026000,1
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_dprime_below_threshold,engaged_2_dprime_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,06ca37b5-6076-4e17-bc8d-f59930ca2ee1,sub-608672/sub-608672_ses-20220503T205638.nwb,1174790219,1174826567,2022-05-03 13:56:38.592000,2
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,342dfac8-6a18-41a2-9a70-b6d95118c391,sub-608672/sub-608672_ses-20220504T211150.nwb,1175067685,1175099033,2022-05-04 14:11:50.167000,3
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_dprime_below_threshold;engaged_2_dprime_below_threshold,engaged_1_dprime_below_threshold;engaged_2_dprime_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,317d95d3-8d97-437a-8b1d-9385e9ac11b6,sub-608672/sub-608672_ses-20220505T200416.nwb,1175253205,1175312578,2022-05-05 13:04:16.894000,4
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold,engaged_2_response_below_threshold,1051,not_applicable,false,Male,Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,32f4964e-b8f7-4090-a26d-7aae7d612d0a,sub-611160/sub-611160_ses-20220511T220415.nwb,1176580734,1176620114,2022-05-11 15:04:15.060000,2
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_1_dprime_below_threshold,engaged_2_response_below_threshold;engaged_1_dprime_below_threshold,1051,not_applicable,false,Male,Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,c05e59ef-1557-4779-91c9-c8f2a8b05aa6,sub-611160/sub-611160_ses-20220512T212648.nwb,1176791184,1176825880,2022-05-12 14:26:48.113000,3
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Male,Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,bbda689c-ac40-415f-b8b7-16185846e0c1,sub-611160/sub-611160_ses-20220513T181413.nwb,1176989662,1177032132,2022-05-13 11:14:13.373000,4
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,96ab87cb-004c-4bfb-93c6-4e58393ad412,sub-611166/sub-611166_ses-20220705T212305.nwb,1189336645,1189415155,2022-07-05 14:23:05.263000,1
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,ed61c3cc-8dc5-49e7-a990-4210c3b15421,sub-611166/sub-611166_ses-20220706T221604.nwb,1189820015,1189906466,2022-07-06 15:16:04.220000,2
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_1_dprime_below_threshold;reward_suppression_drop_below_threshold,engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_1_dprime_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,63875c19-c4cb-4e90-bd22-53d71fc9e8e7,sub-611166/sub-611166_ses-20220707T210213.nwb,1190094328,1190124105,2022-07-07 14:02:13.853000,3
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold,1051,not_applicable,false,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,6b8f63f3-66b2-421c-bc5f-7de821c373eb,sub-611166/sub-611166_ses-20220708T172429.nwb,1190290940,1190313454,2022-07-08 10:24:29.245000,4
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,confirmation,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_holdout_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,7e4fdda7-5cea-4918-aa81-d579034ae028,sub-612090/sub-612090_ses-20220524T212631.nwb,1179670730,1179717742,2022-05-24 14:26:31.876000,1
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,confirmation,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_holdout_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,3ceabbd8-204a-4e4a-980f-69913d55e96e,sub-612090/sub-612090_ses-20220525T214650.nwb,1179911454,1179945643,2022-05-25 14:46:50.138000,2
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,confirmation,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_holdout_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,33bc682c-7501-4217-91c8-80546e7a433f,sub-612090/sub-612090_ses-20220526T205923.nwb,1180107381,1180136630,2022-05-26 13:59:23.837000,3
