_nwb_path,subject_id,ecephys_session_id,recording_day,n_trials,n_unresolved_trials,n_nwb_source_trials,n_companion_source_trials,n_missing_source_trials,n_no_reward_trials,n_nwb_companion_disagreements,n_companion_internal_conflict_trials,n_effective_reward_epoch_conflicts,reward_epoch_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/333/44c/33344c82-0b1b-48ac-b5b1-ba6eac47f6e2,615047,1191375883,EPHYS_3,804,0,804,0,0,154,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/4d8/ee0/4d8ee03a-8ed6-46af-baef-48bcdc3bda86,615047,1190892228,EPHYS_1,513,0,513,0,0,154,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/9b5/21d/9b521df8-c80b-4305-b5f5-6830e47015dc,615047,1191631184,EPHYS_4,858,0,858,0,0,151,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/a25/64a/a2564a07-a0cb-4376-b229-bb8586440a65,615047,1191131853,EPHYS_2,508,0,508,0,0,158,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,1197725774,EPHYS_2,675,0,675,0,0,209,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/79f/491/79f49133-ebbc-4302-9892-e200c2fad8e2,615048,1198130743,EPHYS_4,600,0,600,0,0,205,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/cef/352/cef35297-7f3a-41ce-949d-59dd2a4c4bc1,615048,1197967151,EPHYS_3,599,0,599,0,0,258,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,1197514969,EPHYS_1,676,0,676,0,0,244,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ce1/184/ce11847a-19b5-4a16-a4f9-b904cc8aece6,615563,1194411467,EPHYS_1,677,0,677,0,0,224,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ce2/279/ce2279e0-4653-4528-b6a3-5dcf3b13bc5f,615563,1195036753,EPHYS_4,691,0,691,0,0,251,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/d53/5f5/d535f597-e428-4fbb-aa14-16ef4a07f81b,615563,1194850630,EPHYS_3,611,0,611,0,0,195,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/050/7be/0507bec5-48af-4de6-8094-ccb38f901537,615564,1199249150,EPHYS_3,705,0,705,0,0,221,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/3ae/b2f/3aeb2f0d-c1c1-4b50-964b-61caffa07ee9,615564,1198796984,EPHYS_1,921,0,921,0,0,423,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/635/68b/63568b8b-5957-4045-b90d-d75108909249,615564,1198995158,EPHYS_2,747,0,747,0,0,319,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/932/2b8/9322b892-db03-4e77-a1cd-e428cff1307b,615564,1199448636,EPHYS_4,903,0,903,0,0,392,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/404/f88/404f882a-02c3-400f-b4d6-61772802d386,623319,1208664393,EPHYS_3,755,0,755,0,0,219,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/957/44e/95744e7f-8578-44a4-99fe-df9cdaf362fe,623319,1208053773,EPHYS_2,752,0,752,0,0,218,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/9ae/cb7/9aecb778-a5a0-4554-8b06-3af01005fea5,623319,1209073822,EPHYS_4,679,0,679,0,0,175,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,EPHYS_3,652,0,652,0,0,268,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,EPHYS_2,806,0,806,0,0,371,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8b5/9fb/8b59fb00-5a25-456c-a6b8-abbb37b67e36,623322,1200260055,EPHYS_1,722,0,722,0,0,337,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,EPHYS_4,727,0,727,0,0,295,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/1bd/46d/1bd46d10-cc18-492e-86d4-27213cbfba1c,623784,1202644967,EPHYS_2,949,0,949,0,0,362,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/912/b96/912b96b6-4caa-42bf-9a1c-9cdb604bda77,623784,1203574877,EPHYS_3,845,0,845,0,0,297,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/9a4/25c/9a425c2d-dc68-407e-8c40-52922bc1fea9,623784,1204636084,EPHYS_4,1028,0,1028,0,0,427,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/abc/f33/abcf33cb-a783-47f9-be38-2ffdc58b957c,623784,1202438738,EPHYS_1,1001,0,1001,0,0,483,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/1ac/392/1ac392f0-b27d-4d64-bd96-976288848e9a,623786,1210343162,EPHYS_1,1182,0,1182,0,0,691,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/4d3/55e/4d355e88-34ef-43e9-ba82-b9496b312da3,623786,1211232400,EPHYS_4,670,0,670,0,0,217,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/a3f/49c/a3f49c1c-0ca2-4e5b-8867-f27db4227228,623786,1210608527,EPHYS_2,732,0,732,0,0,301,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/cd5/f63/cd5f6323-15e9-4c59-b36c-477c6daead5a,623786,1210863396,EPHYS_3,701,0,701,0,0,255,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,EPHYS_1,751,0,751,0,0,266,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/588/a20/588a202a-4fc5-4cc5-96cd-84a5cabd3756,626279,1214409109,EPHYS_2,573,0,573,0,0,186,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/922/bef/922bef73-695d-4dd9-9d17-15fd387f5ee5,626279,1214740195,EPHYS_4,714,0,714,0,0,200,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/97c/539/97c5397d-8abf-4938-ab34-681220e26999,626279,1214566710,EPHYS_3,632,0,632,0,0,208,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/17d/ce1/17dce1a6-9218-4477-a99a-980a2903ed1b,632295,1218577463,EPHYS_1,793,0,793,0,0,287,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/708/8bf/7088bfa9-4f4c-467d-acb3-e1ca622632db,632295,1219401111,EPHYS_4,707,0,707,0,0,262,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,EPHYS_2,792,0,792,0,0,281,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,EPHYS_3,721,0,721,0,0,218,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/208/c19/208c19d2-d4b2-41a9-8568-e9ec9d6291a3,633232,1225178442,EPHYS_4,821,0,821,0,0,238,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/4cb/2ca/4cb2cabe-f8a3-4e7e-9065-718d65e5ea3f,633232,1224635971,EPHYS_2,590,0,590,0,0,200,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/758/757/7587577c-c208-438d-9246-8e12c720a91b,633232,1224385827,EPHYS_1,963,0,963,0,0,300,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e64/266/e642660d-05ba-4a34-a104-de354fd9c83a,633232,1224928532,EPHYS_3,728,0,728,0,0,264,0,0,0,pass
