subject_id,source_region,target_region,n_sessions,n_trials,engaged_1_source_added_r2,no_reward_source_added_r2,engaged_2_source_added_r2,real_reversible_contrast,shift_reversible_contrast,controlled_reversible_contrast,real_hysteresis_contrast
614547,HPF,Isocortex,1,45,-0.020605971107420018,-0.002287174622622623,-0.015649886439911498,-0.015840754151043135,-0.02066774700878693,0.004826992857743795,0.00495608466750852
614608,HPF,Isocortex,2,123,-0.014517009902659028,-0.017262599583789173,-0.0028371751670498435,0.008585507048934737,-0.0046149574693079565,0.013200464518242694,0.011679834735609185
615048,HPF,Isocortex,2,105,-0.005691891825337747,-0.015655828719524867,0.0008555896292182785,0.013237677621465133,0.010039179294110162,0.0031984983273549705,0.006547481454556026
615564,HPF,Isocortex,2,99,-0.010141254076665107,-0.034268689336635794,0.002811571185179218,0.03060384789089285,-0.0052749971710949195,0.03587884506198777,0.012952825261844325
623319,HPF,Isocortex,1,36,-0.012643061679271206,-0.037131771738083685,-0.05583453026490115,0.0028929757659975075,0.1310401818379679,-0.1281472060719704,-0.043191468585629944
623322,HPF,Isocortex,3,201,-0.004524189676791468,-0.00730997602548622,-0.0026536804654607358,0.003721040954360118,-0.01774807778319617,0.021469118737556286,0.0018705092113307322
626279,HPF,Isocortex,1,63,-0.0075974602034506455,0.011637567365082924,-0.00689149917060583,-0.01888204705211116,-0.029331882549298915,0.010449835497187754,0.0007059610328448152
632295,HPF,Isocortex,2,78,-0.006367246307152852,0.039594580461590034,-0.02318721896042525,-0.054371813095379085,-0.06894248605930303,0.014570672963923947,-0.016819972653272397
638387,HPF,Isocortex,1,63,-0.013284093184171342,-0.005189803739843235,0.0051834840685053285,0.0011394991820102285,0.006978193515914333,-0.005838694333904104,0.01846757725267667
640887,HPF,Isocortex,2,144,-0.0096700253774758,-0.008985763128175395,-0.004375615249048892,0.001962942814913049,0.0034554849240532315,-0.0014925421091401825,0.005294410128426907
640890,HPF,Isocortex,2,147,-0.006319476416051295,-0.006153432443263329,-0.007266815428318474,-0.0006397134789215553,-0.003658463202091927,0.003018749723170372,-0.0009473390122671788
642504,HPF,Isocortex,2,102,-0.00014769946836457049,-0.00627699791231745,-0.00425952952116293,0.0040733834175537,-0.0031984948109233247,0.0072718782284770245,-0.00411183005279836
614608,HPF,MB,2,123,-0.010636085452502941,-0.010205981614432591,-0.01046577539374538,-0.00034494880869156974,-0.012454265926688357,0.012109317117996787,0.00017031005875756122
615048,HPF,MB,2,105,-0.008139862644947538,-0.02442218590848866,-0.007590665258017548,0.016556921957006115,0.02208399527771346,-0.005527073320707343,0.0005491973869299893
615564,HPF,MB,1,51,-0.003367053292274158,-0.0063099147511594955,-0.03424808756587561,-0.012497655677915387,0.05260780560437306,-0.06510546128228845,-0.03088103427360145
623319,HPF,MB,1,36,-0.01196042175765788,-0.02668114265731436,0.003093070038429513,0.022247466797700177,-0.025835695395379665,0.04808316219307984,0.015053491796087393
623322,HPF,MB,1,66,-0.01767305214455006,-0.02492824516244707,-0.022375889309793395,0.004903774435275343,0.007439003630108687,-0.002535229194833344,-0.004702837165243334
626279,HPF,MB,1,63,-0.017163854740138706,0.023659933359801877,-0.03190523386342936,-0.04819447766158591,-0.006662154515435559,-0.04153232314615035,-0.014741379123290654
632295,HPF,MB,1,42,0.030592178687632532,-0.00028675726700155835,0.005621690740897911,0.01839369198126678,-0.022129983095254935,0.040523675076521715,-0.02497048794673462
640887,HPF,MB,1,69,-0.017979470975135747,-0.17811469946273806,-0.006930145425340095,0.16565989126250014,0.17635620119752882,-0.01069630993502868,0.011049325549795652
640890,HPF,MB,1,81,-0.023959465617144793,-0.008605225001297123,-0.014341735243947662,-0.010545375429249104,-0.003190103372346431,-0.007355272056902673,0.00961773037319713
642504,HPF,MB,2,102,-0.00014461330650133997,-0.012105348480298594,-0.011549799352618906,0.006258142150738472,-0.025144537776746412,0.03140267992748488,-0.011405186046117566
614547,HPF,STR,1,45,-0.0029804136618682975,-0.006458117143319231,0.007876947438574478,0.00890638403167232,-0.004437923214119066,0.013344307245791387,0.010857361100442775
614608,HPF,STR,2,123,-0.010502493357904763,0.004070229904258593,-0.01223082444937812,-0.015436888807900034,-0.007871034345926231,-0.007565854461973803,-0.0017283310914733563
615048,HPF,STR,2,105,-0.0008852813652881486,-0.0041572777945665385,-0.002094410269600666,0.002667431977122131,0.021943899587743593,-0.01927646761062146,-0.0012091289043125175
615564,HPF,STR,2,99,-0.004875972407333173,-0.009965454861649514,0.008632833757422187,0.011843885536694021,-0.018479623212459217,0.03032350874915324,0.01350880616475536
623319,HPF,STR,1,36,-0.0021719065416387906,-0.10323739981151314,-0.016333529281762127,0.09398468189981268,0.017854018864034704,0.07613066303577798,-0.014161622740123336
623322,HPF,STR,1,66,0.00015950494851568742,-0.000565052276548017,0.00643866948640659,0.0038641394940091556,0.0010713776605855707,0.002792761833423585,0.006279164537890902
632295,HPF,STR,2,78,0.005053572070014389,-0.020254284905704523,-0.018454204220416326,0.013553968830503554,0.036968352623363704,-0.02341438379286015,-0.023507776290430715
638387,HPF,STR,1,63,-0.021210876481317253,0.0037545965520400237,-0.02626086346939771,-0.027490466527397506,0.0002565529615943807,-0.027747019488991886,-0.005049986988080457
640887,HPF,STR,2,144,-0.004904112378551373,-0.02606225000666612,-0.006393816006973141,0.020413285813903864,0.030946911494212748,-0.010533625680308883,-0.001489703628421768
640890,HPF,STR,2,147,-0.004690767304337817,-0.014747930940889942,-0.03741197494690984,-0.006303440184733888,-0.0030309613911862487,-0.0032724787935476396,-0.032721207642572026
642504,HPF,STR,2,102,-0.014132748812610896,0.0004333453236390894,-0.015864231177242005,-0.01543183531856554,-0.003652537256015498,-0.011779298062550042,-0.0017314823646311095
614547,HPF,TH,1,45,-0.019602022204888048,-0.008695618898235558,-0.012377708589414782,-0.007294246498915857,-0.018413210502027433,0.011118964003111576,0.007224313615473266
614608,HPF,TH,2,123,-0.0016404841921053848,-0.01214274194857079,-0.01616748376391358,0.0032387579705613068,-0.007885305894096528,0.011124063864657835,-0.014526999571808197
615048,HPF,TH,2,105,-0.01681788044557686,0.001953870996433682,-0.004846395845566898,-0.012786009142005561,-0.0006796464832951321,-0.012106362658710429,0.011971484600009963
615564,HPF,TH,2,99,-0.005235287720857962,-0.03640848103592753,-0.011045531602494496,0.028268071374251302,0.004076073291636728,0.024191998082614574,-0.005810243881636534
623319,HPF,TH,1,36,-0.009891718021070584,-0.04513109946563931,-0.010769906628496195,0.03480028714085592,0.011216904288772866,0.023583382852083057,-0.0008781886074256118
623322,HPF,TH,3,201,-0.019673894355563215,-0.01417754739864859,-0.006899723849789911,0.0008907382959720271,0.003185842538015405,-0.002295104242043378,0.012774170505773303
626279,HPF,TH,1,63,0.0049629912490524175,0.001053389786811243,0.00044164695314319324,0.0016489293142865624,-0.034000621239679785,0.03564955055396635,-0.004521344295909224
632295,HPF,TH,2,78,-0.007401525173112822,-0.00045108324876896866,-0.00848784810730413,-0.007493603391439507,0.0021840559720037733,-0.00967765936344328,-0.0010863229341913083
638387,HPF,TH,1,63,-0.013646288930286854,0.0009789102842278075,-0.009371821650295487,-0.012487965574518978,-0.006303331369566734,-0.006184634204952244,0.0042744672799913674
640887,HPF,TH,2,144,-0.005800461952870262,-0.010910058011468604,0.002665460730232272,0.00934255740014961,0.015049208410299691,-0.005706651010150082,0.008465922683102534
640890,HPF,TH,2,147,-0.010979288651840446,-0.017770523688286133,0.002251866191799512,0.013406812458265666,0.00642073252473907,0.0069860799335265955,0.013231154843639958
642504,HPF,TH,2,102,-0.005189273568078745,-0.025330992923798146,-0.00327103296694059,0.021100839656288478,0.007325843605094251,0.013774996051194227,0.0019182406011381548
614547,Isocortex,HPF,1,45,-0.028152596713864164,0.00048704638896013286,-0.007961738309978816,-0.018544213900881623,-0.03982185962779633,0.021277645726914707,0.020190858403885348
614608,Isocortex,HPF,2,123,-0.006693453387258408,-0.014493069918320334,-0.0018202496122063372,0.010236218418587961,0.004736968781835882,0.005499249636752079,0.004873203775052071
615048,Isocortex,HPF,2,105,-0.013662534458394493,-0.010670563533055566,-0.011753757519332386,-0.0020375824558078737,0.008117682003806137,-0.01015526445961401,0.0019087769390621068
615564,Isocortex,HPF,2,99,-0.02703985003333259,-0.08255651012216975,-0.013731758297315544,0.06217070595684568,0.14929340545323116,-0.08712269949638549,0.013308091736017047
623319,Isocortex,HPF,1,36,-0.012263313133958564,0.009809575751050348,0.005275747173596468,-0.013303358731231396,0.022851126938354782,-0.03615448566958618,0.017539060307555032
623322,Isocortex,HPF,3,201,-0.010301108431289285,-0.0012158412032711914,-0.006267693623942046,-0.007068559824344475,0.012172150567584547,-0.01924071039192902,0.004033414807347239
626279,Isocortex,HPF,1,63,-0.008462384575990245,0.04195612608126331,-0.005754628669773498,-0.049064632704145184,-0.01278596874903204,-0.036278663955113144,0.0027077559062167467
632295,Isocortex,HPF,2,78,-0.011331752713053977,-0.01532828635032063,-0.0026258439657441124,0.008349488010921585,0.005652189655100948,0.0026972983558206376,0.008705908747309865
638387,Isocortex,HPF,1,63,-0.00496915772164519,-0.0048686880325468085,-0.022876889001411826,-0.0090543353289817,0.011936710751465907,-0.020991046080447606,-0.017907731279766637
640887,Isocortex,HPF,2,144,-0.0036042265902150317,0.005170875447351508,-0.015652882164040427,-0.014799429824479238,0.0001991871726182981,-0.014998616997097536,-0.012048655573825395
640890,Isocortex,HPF,2,147,-0.00861184335669446,-0.0037447608606555605,0.00004699757779241809,-0.0005376620287954603,0.00134250754485854,-0.0018801695736540003,0.008658840934486878
642504,Isocortex,HPF,2,102,-0.0032742500331272573,-0.018585075912836535,-0.00851549220298975,0.012690204794778032,0.017402969513511973,-0.004712764718733942,-0.005241242169862492
614608,Isocortex,MB,2,123,-0.009819547894926284,-0.011401629382841227,-0.006612782855504096,0.0031854640076260377,-0.02306208268009774,0.026247546687723777,0.003206765039422188
615048,Isocortex,MB,2,105,-0.0028606313395674876,-0.011872404603509579,-0.012679953213630468,0.004102112326910601,0.0005115491344150347,0.003590563192495566,-0.00981932187406298
615564,Isocortex,MB,1,51,-0.004647628673036586,-0.025359802731517833,-0.05307215359362971,-0.0035000884018153156,-0.004641017008349402,0.0011409286065340862,-0.048424524920593126
623319,Isocortex,MB,1,36,-0.08302884240276898,-0.012076059725892652,-0.006361796308170686,-0.03261925962957718,-0.01896614706882155,-0.013653112560755631,0.07666704609459829
623322,Isocortex,MB,1,66,-0.0007140099146718537,-0.011915426715823796,-0.01068019599238701,0.006218323762294364,0.006345445227139979,-0.00012712146484561426,-0.009966186077715156
626279,Isocortex,MB,1,63,0.01819852057736837,-0.005201386886451553,-0.014641105019772338,0.00698009466524957,-0.014510592407550371,0.02149068707279994,-0.03283962559714071
632295,Isocortex,MB,1,42,-0.008389245200477013,-0.012955093810167684,-0.03789312662198974,-0.010186092101065691,-0.03452137849236875,0.024335286391303057,-0.029503881421512723
640887,Isocortex,MB,1,69,-0.0075228187225646614,-0.06885969848507689,-0.004610996961815106,0.06279279064288701,0.13829901834430952,-0.07550622770142251,0.0029118217607495556
640890,Isocortex,MB,1,81,-0.0062461708040144615,-0.0132131546554346,-0.009466209044333818,0.005356964731260461,0.02240275320981283,-0.01704578847855237,-0.003220038240319356
642504,Isocortex,MB,2,102,0.0022863729706326663,0.01733956082994703,-0.004886652305131967,-0.018639700497196682,0.02359811998045888,-0.04223782047765556,-0.007173025275764633
614547,Isocortex,STR,1,45,0.005017141288879756,-0.001590252273788506,-0.009909252280315806,-0.0008558032219295186,0.01633088231572133,-0.017186685537650848,-0.014926393569195562
614608,Isocortex,STR,2,123,-0.028357455996674552,-0.0076371795649616825,-0.011928899716676267,-0.012505998291713727,0.016264181078495393,-0.02877017937020912,0.016428556279998285
615048,Isocortex,STR,2,105,-0.00958708085000659,-0.014144381088253444,0.005600722501950872,0.012151201914225584,0.006731136186609588,0.005420065727615997,0.015187803351957463
615564,Isocortex,STR,2,99,-0.019046223073052537,-0.003265094530168877,0.002847332954540538,-0.0048343505290871225,0.0186812556040801,-0.02351560613316722,0.021893556027593075
623319,Isocortex,STR,1,36,-0.006141781085328701,-0.020465699893763678,-0.003651167709638803,0.015569225496279926,0.028307168378393366,-0.01273794288211344,0.0024906133756898985
623322,Isocortex,STR,1,66,-0.007559034138474252,-0.0026763685861764808,-0.0038423086039013343,-0.0030243027850113124,-0.0016599594877941826,-0.0013643432972171299,0.0037167255345729178
632295,Isocortex,STR,2,78,-0.017960557308813963,-0.04251984339613979,-0.01698038797254392,0.025049370755460848,0.008241495567135548,0.0168078751883253,0.0009801693362700425
638387,Isocortex,STR,1,63,0.0017146978091165943,0.0033962077547400327,-0.004887214997740474,-0.004982466349051973,-0.007559068313002293,0.00257660196395032,-0.006601912806857069
640887,Isocortex,STR,2,144,0.0038594190751516932,-0.00024728616604186016,-0.014290088474113782,-0.004968048533439184,-0.04201137624125706,0.037043327707817875,-0.018149507549265476
640890,Isocortex,STR,2,147,-0.011330048724913278,-0.0008535535485038048,-0.011703170106263039,-0.010663055867084353,-0.01344724083204224,0.0027841849649578865,-0.00037312138134976136
642504,Isocortex,STR,2,102,0.010511180400674502,-0.005025498278653562,-0.0027536311058130036,0.008904272926084311,-0.024057902129449915,0.032962175055534226,-0.013264811506487506
614547,Isocortex,TH,1,45,-0.02063196364057407,-0.009133306310631917,-0.015374418569832793,-0.008869884794571514,0.01850702018397382,-0.027376904978545336,0.005257545070741276
614608,Isocortex,TH,2,123,-0.006601466796718636,0.007071682878403263,-0.007392403116288249,-0.014068617834906705,0.02843504174683112,-0.042503659581737824,-0.0007909363195696129
615048,Isocortex,TH,2,105,-0.008960042989544281,-0.008431096719014597,-0.004102203016337236,0.0018999737160738384,-0.0018134895067592194,0.0037134632228330577,0.004857839973207045
615564,Isocortex,TH,2,99,-0.008323613793611906,-0.014792725494962855,-0.0030814962888240927,0.009090170453744856,0.04567424580669868,-0.036584075352953827,0.005242117504787813
623319,Isocortex,TH,1,36,-0.004780871888612093,-0.030458225198720434,-0.004021294823307153,0.02605714184276081,0.025760206121576923,0.00029693572118388856,0.0007595770653049394
623322,Isocortex,TH,3,201,-0.010776438656474782,-0.0034647306411279186,-0.012354472189672746,-0.008100724781945845,0.014018522335554505,-0.02211924711750035,-0.0015780335331979645
626279,Isocortex,TH,1,63,-0.003469963358043615,-0.013406936443397965,-0.006023971642784676,0.00865996894298382,-0.007395253266917756,0.016055222209901576,-0.0025540082847410606
632295,Isocortex,TH,2,78,-0.015340963257598927,0.007697637304575733,-0.03254438999285514,-0.031640313929802766,0.021347706134157957,-0.05298802006396072,-0.01720342673525621
638387,Isocortex,TH,1,63,-0.009147984173410562,-0.013997005689826314,-0.0036250011164183915,0.0076105130449118374,-0.012882506876960964,0.0204930199218728,0.00552298305699217
640887,Isocortex,TH,2,144,-0.0034614650549072423,-0.022796703338410662,-0.011545377402894463,0.01529328210950981,0.04560856382036155,-0.030315281710851738,-0.008083912347987221
640890,Isocortex,TH,2,147,-0.0014856108648847455,-0.008034018695505019,0.003328369090005723,0.008955397808065507,0.001250742458730636,0.007704655349334871,0.004813979954890468
642504,Isocortex,TH,2,102,-0.013704140224583161,-0.0047478441171948105,-0.01847747921595999,-0.011342965603076766,0.0020909328856842935,-0.013433898488761059,-0.00477333899137683
614608,MB,HPF,2,123,0.006487349455422842,-0.005490173754269523,-0.008135127310239465,0.004666284826861211,0.0012446788519217822,0.003421605974939429,-0.014622476765662307
615048,MB,HPF,2,105,-0.01879739807802061,-0.013874248406970546,-0.010868793571223834,-0.0009588474176516759,-0.007015892646811461,0.006057045229159785,0.007928604506796777
615564,MB,HPF,1,51,-0.006813390389553087,0.0014493426172373924,-0.006150262687867558,-0.007931169155947715,-0.009618991443801073,0.0016878222878533578,0.0006631277016855286
623319,MB,HPF,1,36,0.005454069015224716,-0.007607549162595095,0.00021198961534074634,0.010440578477877827,-0.001413116843999307,0.011853695321877133,-0.00524207939988397
623322,MB,HPF,1,66,-0.01706842766505423,-0.014369422991149516,-0.010420527760647613,0.0006249452782985943,0.020010264505301967,-0.019385319227003373,0.006647899904406618
626279,MB,HPF,1,63,-0.010694844635505851,-0.010652486267780592,0.0005049812410329313,0.005557554570544132,-0.008284079537370481,0.013841634107914613,0.011199825876538783
632295,MB,HPF,1,42,0.0028619607991037244,-0.0025133391992699927,0.002645542008669177,0.0052670906031564435,-0.001948209907113696,0.0072153005102701395,-0.00021641879043454715
640887,MB,HPF,1,69,-0.012553318676473024,-0.018532279524674733,-0.019637677969814082,0.0024367812015311796,0.009361036656687138,-0.006924255455155959,-0.007084359293341058
640890,MB,HPF,1,81,-0.0405115339171247,-0.00839461454826318,-0.005434987505209099,-0.014578646162903719,-0.010842209285353066,-0.003736436877550653,0.0350765464119156
642504,MB,HPF,2,102,-0.012081139765653781,-0.02358131714492251,-0.03412033156411565,0.000480581480037795,-0.033043952554152545,0.03352453403419034,-0.022039191798461866
614608,MB,Isocortex,2,123,-0.036533154931460865,-0.019708778031286456,-0.023667033940273585,-0.01039131640458077,-0.04152838783583432,0.03113707143125355,0.01286612099118728
615048,MB,Isocortex,2,105,-0.007388570404293915,0.0034395013561232535,-0.0020485468127729445,-0.008158059964656683,-0.0067572595053595474,-0.0014008004592971357,0.00534002359152097
615564,MB,Isocortex,1,51,-0.01644700778666297,-0.06141861510511726,-0.009287428929526609,0.04855139674702247,-0.025062555556439603,0.07361395230346207,0.007159578857136362
623319,MB,Isocortex,1,36,-0.012786948556431477,-0.008925403527375142,-0.0045451249172344665,0.0002593667905421704,-0.019808005993187716,0.020067372783729887,0.00824182363919701
623322,MB,Isocortex,1,66,0.0015654779686000708,-0.008986319640806761,-0.03117181560029736,-0.005816849175041883,-0.008832156725251505,0.0030153075502096227,-0.03273729356889743
626279,MB,Isocortex,1,63,-0.011796424677721018,-0.011903787595515913,-0.03447599757957642,-0.011232423533132807,-0.004917174436513905,-0.006315249096618902,-0.022679572901855405
632295,MB,Isocortex,1,42,-0.013938287659444493,-0.0069137181061458275,-0.00048452050676262015,-0.0002976859769577289,0.008748875208455409,-0.009046561185413138,0.013453767152681873
640887,MB,Isocortex,1,69,-0.0010259975154203183,-0.000051786674269194144,-0.005327139011158666,-0.003124781589020298,-0.004035174001508879,0.0009103924124885809,-0.004301141495738348
640890,MB,Isocortex,1,81,-0.0033160101332410097,-0.003503914057717661,0.0014859130376279062,0.002588865509911109,0.00750235943490124,-0.004913493924990131,0.004801923170868916
642504,MB,Isocortex,2,102,-0.01794968918895229,0.006224238506717106,0.0327133440453416,0.001157588921477548,0.006088950487953992,-0.004931361566476444,0.050663033234293886
614608,MB,STR,2,123,-0.03375992187669935,-0.0065315281320884044,0.0036332706190518316,-0.008531797496735355,-0.04594736829273305,0.037415570795997694,0.03739319249575118
