_nwb_path,subject_id,ecephys_session_id,perturbation_family,condition,interpretation_scope,reward_block,n_trials,response_probability,mean_axis_score
https://dandiarchive.s3.amazonaws.com/blobs/9ae/cb7/9aecb778-a5a0-4554-8b06-3af01005fea5,623319,1209073822,contrast,full,within_identity_im115_contrast,engaged_2,11,0.9090909090909091,-0.3140565396688795
https://dandiarchive.s3.amazonaws.com/blobs/9ae/cb7/9aecb778-a5a0-4554-8b06-3af01005fea5,623319,1209073822,contrast,full,within_identity_im115_contrast,no_reward,20,0.0,-0.49999729052927516
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,contrast,full,within_identity_im115_contrast,engaged_1,9,1.0,0.4774625256131267
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,contrast,full,within_identity_im115_contrast,engaged_2,16,0.6875,-0.2098217760610661
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,contrast,full,within_identity_im115_contrast,no_reward,13,0.07692307692307693,-0.48645870650883916
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,contrast,full,within_identity_im115_contrast,engaged_1,9,0.5555555555555556,0.5036608545262587
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,contrast,full,within_identity_im115_contrast,engaged_2,19,0.3157894736842105,-0.1551920948708656
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,contrast,full,within_identity_im115_contrast,no_reward,17,0.17647058823529413,-0.5467794803511672
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,contrast,full,within_identity_im115_contrast,engaged_1,9,1.0,0.5061785912725459
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,contrast,full,within_identity_im115_contrast,engaged_2,13,0.6153846153846154,-0.2691077435498284
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,contrast,full,within_identity_im115_contrast,no_reward,18,0.16666666666666666,-0.49366224912101564
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,contrast,full,within_identity_im115_contrast,engaged_1,8,1.0,0.5370459543817284
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,contrast,full,within_identity_im115_contrast,engaged_2,13,0.6153846153846154,0.007051530511012743
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,contrast,full,within_identity_im115_contrast,no_reward,18,0.2777777777777778,-0.41278041942502086
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,contrast,full,within_identity_im115_contrast,engaged_1,7,0.8571428571428571,0.5611344060835374
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,contrast,full,within_identity_im115_contrast,engaged_2,14,0.7857142857142857,-0.10025587191883445
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,contrast,full,within_identity_im115_contrast,no_reward,15,0.13333333333333333,-0.4130850092157627
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,contrast,full,within_identity_im115_contrast,engaged_1,5,1.0,0.4375960163345124
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,contrast,full,within_identity_im115_contrast,engaged_2,13,0.7692307692307693,-0.22327577773054946
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,contrast,full,within_identity_im115_contrast,no_reward,18,0.2222222222222222,-0.4760505021858643
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,contrast,full,within_identity_im115_contrast,engaged_1,8,1.0,0.46545583919082545
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,contrast,full,within_identity_im115_contrast,engaged_2,9,0.4444444444444444,-0.15150550573008342
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,contrast,full,within_identity_im115_contrast,no_reward,12,0.3333333333333333,-0.5123266687695488
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,contrast,full,within_identity_im115_contrast,engaged_1,8,1.0,0.5063758145159973
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,contrast,full,within_identity_im115_contrast,engaged_2,17,0.8235294117647058,-0.11857307522752493
