_nwb_path,subject_id,ecephys_session_id,n_units,n_trials,n_engaged_1_trials,n_no_reward_trials,n_engaged_2_trials,engaged_1_oof_mean_axis_score,no_reward_oof_mean_axis_score,engaged_2_transfer_mean_axis_score,e1_nr_oof_auc,e1_nr_oof_mean_difference,e2_transfer_recovery,axis_selected_lambda,outer_selected_lambdas,unit_filter
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,1154,90,14,41,35,-0.06298123807138215,-0.23179275958811044,-0.18811196107506625,0.7926829268292683,0.1688115215167283,0.04368079851304418,1000.0,"[100.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,726,89,13,45,31,-0.09929864929052548,-0.263689876598771,-0.23000460774837608,0.7982905982905983,0.16439122730824554,0.03368526885039494,1000.0,"[1000.0, 100.0, 100.0, 1000.0, 100.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,650,75,21,29,25,0.10567503787108806,-0.10785855601880055,-0.12716277587007035,0.8029556650246306,0.21353359388988863,-0.019304219851269802,1000.0,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,899,115,23,50,42,0.06569264768386157,-0.20578520689342852,-0.0804584288539927,0.908695652173913,0.2714778545772901,0.12532677803943582,1000.0,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,869,120,25,50,45,0.10096137002536267,-0.24536132666311833,0.10791170848316232,0.924,0.346322696688481,0.35327303514628067,1000.0,"[10.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,1225,119,27,49,43,0.1033713889610156,-0.1887286523081189,-0.10503365751306805,0.8972033257747544,0.29210004126913447,0.08369499479505084,1000.0,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,857,113,22,47,44,0.08322170211425693,-0.1967073986750977,-0.13880598837902183,0.8974854932301741,0.2799291007893546,0.05790141029607587,1000.0,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,645,115,23,49,43,-0.010775140509963366,-0.1771508525295982,-0.12127827408820818,0.7409050576752441,0.16637571201963483,0.055872578441390014,1000.0,"[0.001, 1000.0, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,1243799530,662,105,22,42,41,0.047222631841104,-0.2147334733667958,-0.14886281897620693,0.9512987012987013,0.2619561052078998,0.06587065439058887,100.0,"[1000.0, 1000.0, 10.0, 1.0, 100.0]",isolation_only_preliminary_d04_not_applied
https://dandiarchive.s3.amazonaws.com/blobs/559/41e/55941ebd-ef47-4d38-80af-0fabd499db6d,642504,1244070169,728,114,24,46,44,0.11679503097381899,-0.2607569187551768,-0.03514720756369155,0.9827898550724637,0.3775519497289958,0.22560971119148526,1000.0,"[0.001, 0.001, 1000.0, 1000.0, 1000.0]",isolation_only_preliminary_d04_not_applied
