_nwb_path,subject_id,transition_id,real_signed_step,pseudo_signed_step,real_minus_pseudo,n_real_pre_trials,n_real_post_trials,n_pseudo_pre_trials,n_pseudo_post_trials,status
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,reward_withdrawal,0.06263321871697149,0.02737459404732244,0.03525862466964905,10,10,10,8,pass
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,reward_restoration,0.06627240802600823,0.022423555878766932,0.043848852147241296,11,6,9,12,pass
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,reward_withdrawal,-0.10651613849992891,0.13168964309348974,-0.23820578159341865,5,7,6,5,pass
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,reward_restoration,0.08502840033796513,-0.05411853207531253,0.13914693241327766,10,7,9,12,pass
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,reward_withdrawal,0.05199602326266997,,,5,11,6,4,insufficient_anchor_support
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,reward_restoration,,,,7,3,4,9,insufficient_anchor_support
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,reward_withdrawal,-0.09243681625946794,0.07144762820554487,-0.16388444446501282,8,8,11,8,pass
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,reward_restoration,0.1626828374370506,-0.07016487849394862,0.2328477159309992,14,9,13,13,pass
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,reward_withdrawal,0.13788576932594368,0.08016130386235928,0.057724465463584396,10,10,10,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,reward_restoration,0.5077598551944179,-0.028161330503107984,0.5359211856975259,10,12,12,13,pass
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,reward_withdrawal,0.1622733497471618,0.04068935925798502,0.12158399048917677,11,13,10,12,pass
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,reward_restoration,0.13537302531876408,-0.01669060415996035,0.15206362947872443,14,10,11,13,pass
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,reward_withdrawal,0.18534079088908928,0.023022535341323966,0.1623182555477653,12,11,11,12,pass
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,reward_restoration,0.20109217339575575,0.022663665163093843,0.1784285082326619,14,10,11,11,pass
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,reward_withdrawal,0.33429784821333974,-0.05018555347380013,0.3844834016871399,10,10,9,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,reward_restoration,0.15857126392805532,,,12,11,3,14,insufficient_anchor_support
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,reward_withdrawal,0.19067553974344628,0.016224354187570046,0.17445118555587624,9,11,9,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/559/41e/55941ebd-ef47-4d38-80af-0fabd499db6d,642504,reward_restoration,0.3348869827529527,-0.12262814881090434,0.45751513156385704,10,10,11,11,pass
https://dandiarchive.s3.amazonaws.com/blobs/559/41e/55941ebd-ef47-4d38-80af-0fabd499db6d,642504,reward_withdrawal,0.27737322913433965,0.012912407226851191,0.26446082190748843,11,11,11,12,pass
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,reward_restoration,0.1998821856951092,0.0638697956703469,0.13601239002476231,10,7,13,10,pass
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,reward_withdrawal,-0.032542868884223475,0.07645588230133885,-0.10899875118556232,12,12,8,11,pass
