_nwb_path,subject_id,ecephys_session_id,n_units,n_adjusted_units,n_stable_class_units,early_raw,late_raw,early_total,late_total,early_adjusted,late_adjusted,early_total_state_dropout_r2,late_total_state_dropout_r2,early_adjusted_state_dropout_r2,late_adjusted_state_dropout_r2,n_trials,n_nonresponse_trials,n_response_trials,late_minus_early_raw,late_minus_early_total,late_minus_early_adjusted,late_adjustment_change
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,767,767,544,0.07220096841138032,0.1619524682599273,0.05179486011004464,0.10328019583135414,0.04012353219206018,0.007685688808116765,-0.007690089638210082,0.018037079674559003,-0.001809107076250745,-0.0031708745055613967,111,48,63,0.08975149984854697,0.051485335721309505,-0.03243784338394341,-0.09559450702323738
https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,1187475832,1364,1364,989,0.05863718939052411,0.1945889629288762,0.027189931559690142,0.13877453601709355,0.0006254586964844598,0.006727011375837015,0.0002563261249294409,0.009510227325709405,-0.0011957515682732938,-0.000592681112049323,123,52,71,0.13595177353835208,0.11158460445740341,0.006101552679352555,-0.13204752464125655
https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,1187940755,1062,1062,778,0.05220842981990045,0.21912653401538965,0.04002263787632596,0.1743636978234902,0.015553351381920103,0.047933326918244194,-0.000855948867157598,0.01425062306211761,0.00010038180513924256,-0.002118126995809755,124,62,62,0.1669181041954892,0.13434105994716425,0.03237997553632409,-0.126430370905246
https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,1197514969,1218,1218,838,0.002489679394001628,0.10155526061250982,0.009413580412052454,0.07100781540455078,0.0037430732924991043,0.026203130622836746,-0.004721870909678223,0.004646179418993676,-0.0028455443452138018,0.005631882573615824,99,57,42,0.09906558121850818,0.06159423499249833,0.02246005733033764,-0.04480468478171404
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,1197725774,914,914,568,0.03619670264654254,0.13607949746947107,0.029134775136359054,0.07904729628258296,0.01615286780301336,0.022387222831042154,-0.005945262597118921,0.0028822294872596905,-0.002610577187101025,-0.00435112776871515,105,68,37,0.09988279482292853,0.04991252114622391,0.006234355028028795,-0.05666007345154081
https://dandiarchive.s3.amazonaws.com/blobs/3ae/b2f/3aeb2f0d-c1c1-4b50-964b-61caffa07ee9,615564,1198796984,1054,1054,754,0.08785939995105695,0.29067334859357974,0.049237365633756386,0.1697580143228597,0.025180335146006295,0.020189159721574205,-0.002020876427507777,0.015508570353144315,-0.00226968034370192,0.0043465066822909,76,23,53,0.20281394864252278,0.12052064868910331,-0.004991175424432091,-0.1495688546012855
https://dandiarchive.s3.amazonaws.com/blobs/635/68b/63568b8b-5957-4045-b90d-d75108909249,615564,1198995158,981,981,715,0.025544701674326868,0.21733253141397843,0.03574274892392677,0.22167967354105753,0.012150747548415622,0.0659966902111281,-0.001215671495604007,0.0038337733213976385,-0.00231910831378742,-0.0048240948802614515,94,55,39,0.19178782973965156,0.18593692461713074,0.053845942662712476,-0.15568298332992941
https://dandiarchive.s3.amazonaws.com/blobs/957/44e/95744e7f-8578-44a4-99fe-df9cdaf362fe,623319,1208053773,787,787,563,0.0008918303694327553,0.5028044123663414,-0.010970363682341087,0.274952711729846,-0.012020699577723979,0.1034897828726047,-0.0008452834705397696,0.04529389363045547,-0.001253895306644187,0.005878471803804295,86,44,42,0.5019125819969087,0.2859230754121871,0.11551048245032867,-0.1714629288572413
https://dandiarchive.s3.amazonaws.com/blobs/9ae/cb7/9aecb778-a5a0-4554-8b06-3af01005fea5,623319,1209073822,810,810,593,-0.005462654141811754,0.2812241652878969,0.01844953926335903,0.1454629085510692,0.016614074618075236,0.01892329915680101,-0.005413919631206488,0.03952960309422509,-0.003808357115981076,0.001149289580911502,90,47,43,0.28668681942970864,0.12701336928771018,0.0023092245387257744,-0.12653960939426817
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,856,856,645,0.04744067055268681,0.16122737388090916,0.08100244518453444,0.22135525984660193,0.022758692668079703,0.04664728273648103,0.0009847697159092316,0.03332177070440658,-0.0051505420617503255,-0.001610375439102443,96,38,58,0.11378670332822236,0.1403528146620675,0.023888590068401324,-0.1747079771101209
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,755,755,497,0.04901468672662961,0.1008907026783788,0.057972238673400116,0.14878061197354606,0.03192995130277992,0.03202962807792833,-0.002528537774731024,-0.004561599805345644,0.003516886502953372,-0.0018133526306624128,113,75,38,0.051876015951749184,0.09080837330014593,0.00009967677514841067,-0.11675098389561772
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,788,788,595,0.04623572151446441,0.1265900667791503,0.05794825982944884,0.17901070380326292,0.021563533930696394,0.08475236301541818,-0.005247210327355425,0.049593949906882484,-0.0015817717575386428,-0.0029737195338114556,108,54,54,0.08035434526468589,0.12106244397381408,0.06318882908472179,-0.09425834078784474
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,896,896,611,0.05121109222795781,0.19068495267024835,0.03337280355582638,0.1687156106598657,0.014345704053896773,0.059641551929756,-0.005353034753153337,0.030826901633622256,-0.0006486766678382405,0.0023965525588541463,101,65,36,0.13947386044229054,0.13534280710403934,0.04529584787585923,-0.1090740587301097
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,1154,1154,845,0.07354068738314644,0.17843600545750407,0.03680058035021962,0.12032045600817855,0.02256408647456213,0.02388537824210615,-0.0030835488960902005,0.010960374993257025,-0.00085858864330279,-0.00567891898865974,93,41,52,0.10489531807435763,0.08351987565795893,0.0013212917675440201,-0.0964350777660724
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,726,726,481,0.052177776358492946,0.34161452372258255,0.03030212783457753,0.23652137042761737,0.013393634141886502,0.05741183212977667,0.0014420848024309417,0.04873045541717782,-0.00015859921578119962,0.0004460580244070095,91,34,57,0.2894367473640896,0.20621924259303984,0.04401819798789017,-0.1791095382978407
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,650,650,418,0.03202429958143807,0.19773019653733082,0.03301755239892322,0.14374249955584895,0.01672128079230196,0.02361149694966392,-0.0005990127579668764,0.016047445155141393,-0.002234648459996604,0.005689634383935235,78,37,41,0.16570589695589275,0.11072494715692573,0.006890216157361958,-0.12013100260618503
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,899,899,695,0.051811791466381533,0.2381997385410934,0.03841891108605633,0.21537796260699743,0.0019282634352457547,-0.03353484292180432,0.001935665113492831,0.04023078362410067,-0.000998068467669817,-0.001317053670238137,116,48,68,0.18638794707471185,0.1769590515209411,-0.03546310635705008,-0.24891280552880174
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,869,869,687,0.09465970738953416,0.41650250460838767,0.05180544843737258,0.31135824141753093,0.019806703563678946,0.024253575697019168,0.0010782453886304705,0.055690096501951614,-0.00013788965606909763,0.0010496584313389758,120,41,79,0.3218427972188535,0.2595527929801584,0.004446872133340222,-0.28710466572051174
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,1225,1225,896,0.06824273977142437,0.20040672510698637,0.061500867508082833,0.15932516253029105,0.012900377429589847,0.027894196664230063,0.004060283922855976,0.0714329731045747,-0.0014094634757965089,0.0004045366259719456,119,43,76,0.132163985335562,0.09782429502220821,0.014993819234640215,-0.13143096586606098
