transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_bin_start_seconds,relative_bin_stop_seconds,relative_bin_center_seconds,n_mice_inventory,n_mice_response_contributing,n_sessions_response_contributing,n_trials_contributing,n_responses_contributing,response_probability,response_probability_ci_low,response_probability_ci_high,response_bootstrap_seed,n_mice_latency_contributing,n_sessions_latency_contributing,n_latency_responses_contributing,mean_session_median_response_latency_seconds,response_latency_ci_low,response_latency_ci_high,latency_bootstrap_seed,confidence_level,bootstrap_resamples,ci_method,aggregation,latency_estimand
reward_restoration,2,real,catch,-1,no_reward,-120.0,0.0,-60.0,27,27,99,387,18,0.06661522633744855,0.02571373456790129,0.1185763888888888,1079,12,15,18,0.4085774999999848,0.3286583333333302,0.4867130625000366,1080,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,catch,0,engaged_2,0.0,120.0,60.0,27,27,88,206,23,0.15252057613168724,0.0853909465020576,0.23123070987654315,1081,15,20,23,0.4505980555555425,0.37307021111111227,0.5395625388888372,1082,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,catch,1,engaged_2,120.0,240.0,180.0,27,27,94,314,31,0.1116769547325103,0.06373456790123457,0.16779963991769548,1083,16,25,31,0.3604752604167653,0.29962911328137204,0.4203761666667522,1084,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,catch,2,engaged_2,240.0,360.0,300.0,27,27,98,315,28,0.13641975308641976,0.07422453703703706,0.20488683127572016,1085,16,24,28,0.41614958333342145,0.3501860052084351,0.48372256510420375,1086,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-3,no_reward,-360.0,-240.0,-300.0,27,27,99,776,89,0.1229413847469403,0.07681819295245225,0.1767396378912582,1087,22,44,89,0.5337286742423173,0.4886087907195537,0.580790800189312,1088,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-2,no_reward,-240.0,-120.0,-180.0,27,27,99,779,94,0.14096921596921597,0.09500756852030003,0.19434860899559972,1089,23,48,94,0.48342141304348446,0.4409643016305155,0.5239334855072497,1090,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-1,no_reward,-120.0,0.0,-60.0,27,27,99,785,103,0.14908131134982985,0.10738257241729464,0.19607468256195107,1091,24,54,103,0.46318769097223206,0.4170730802951868,0.5064105004340224,1092,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,0,engaged_2,0.0,120.0,60.0,27,27,97,455,243,0.5585097001763669,0.4753268298059964,0.6407053755144032,1093,27,84,243,0.4364995061727746,0.4044561986881868,0.46652560879624605,1094,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,1,engaged_2,120.0,240.0,180.0,27,27,99,634,345,0.5803876507580211,0.4930206913713859,0.6716547251616696,1095,27,87,345,0.4408446450618269,0.40620789969149507,0.4741455586419781,1096,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,2,engaged_2,240.0,360.0,300.0,27,27,99,636,311,0.556050362531844,0.4477482914462081,0.6566635741230648,1097,26,80,311,0.4535880769231627,0.41165500160260626,0.49303478125009814,1098,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
