subject_id,perturbation_family,metric,test_condition,reference_condition,test_reversible_contrast,reference_reversible_contrast,interaction,n_sessions,n_trials
614547,contrast,behavior_response,reduced,full,0.3535219569702328,0.6735930735930736,-0.3200711166228408,1,105
614608,contrast,behavior_response,reduced,full,0.11636310604096448,0.4896817867552895,-0.37331868071432506,2,239
615048,contrast,behavior_response,reduced,full,0.28596230158730157,0.49318148311956356,-0.207219181532262,2,162
615564,contrast,behavior_response,reduced,full,0.413961038961039,0.4485119047619047,-0.03455086580086575,2,129
623319,contrast,behavior_response,reduced,full,0.6498205741626795,0.8022727272727272,-0.15245215311004778,2,143
623322,contrast,behavior_response,reduced,full,0.28895113600995953,0.5556848301623843,-0.2667336941524248,3,241
626279,contrast,behavior_response,reduced,full,0.7211538461538461,0.5299145299145299,0.19123931623931623,1,77
632295,contrast,behavior_response,reduced,full,0.31016444855454145,0.6752442002442003,-0.36507975168965884,2,144
638387,contrast,behavior_response,reduced,full,0.3166666666666667,0.3888888888888889,-0.07222222222222219,1,61
640887,contrast,behavior_response,reduced,full,0.20870098039215684,0.853250773993808,-0.6445497936016511,2,184
640890,contrast,behavior_response,reduced,full,0.553125,0.8014705882352942,-0.24834558823529418,2,183
642504,contrast,behavior_response,reduced,full,0.6719033081068685,0.7024122807017544,-0.03050897259488594,3,270
614547,contrast,early_reward_axis,reduced,full,-0.02803401026177052,0.6863155421749455,-0.714349552436716,1,105
614608,contrast,early_reward_axis,reduced,full,0.11508802360406656,0.6857605870132504,-0.5706725634091838,2,239
615048,contrast,early_reward_axis,reduced,full,0.10036978345064539,0.6649385723406205,-0.5645687888899751,2,162
615564,contrast,early_reward_axis,reduced,full,0.23624768750743425,0.6875512978826268,-0.45130361037519257,2,129
623319,contrast,early_reward_axis,reduced,full,-0.01799846363593694,0.5749688808952531,-0.59296734453119,2,143
623322,contrast,early_reward_axis,reduced,full,0.16208227364083447,0.6511635381487025,-0.48908126450786804,3,241
626279,contrast,early_reward_axis,reduced,full,0.22735769300712144,0.6848291618713914,-0.45747146886427,1,77
632295,contrast,early_reward_axis,reduced,full,0.05321437569396287,0.61336744889298,-0.5601530731990172,2,144
638387,contrast,early_reward_axis,reduced,full,0.13545781730376674,0.6693018354999198,-0.5338440181961531,1,61
640887,contrast,early_reward_axis,reduced,full,0.17521620956156267,0.7874189274542658,-0.6122027178927031,2,184
640890,contrast,early_reward_axis,reduced,full,0.20460878534450555,0.7462726429520633,-0.5416638576075578,2,183
642504,contrast,early_reward_axis,reduced,full,0.1906606811760199,0.6876859060829021,-0.4970252249068823,3,270
614547,novelty,behavior_response,designated_novel,familiar,0.5004926108374385,0.5566091954022989,-0.05611658456486046,1,162
614608,novelty,behavior_response,designated_novel,familiar,0.45219780219780215,0.4959361441819341,-0.043738341984131957,2,365
615048,novelty,behavior_response,designated_novel,familiar,0.3526571941302076,0.36531597379327985,-0.012658779663072273,2,322
615564,novelty,behavior_response,designated_novel,familiar,0.5295454545454545,0.5549354213147316,-0.025389966769277073,2,259
623319,novelty,behavior_response,designated_novel,familiar,0.6400862068965517,0.7665685504971219,-0.1264823436005702,2,277
623322,novelty,behavior_response,designated_novel,familiar,0.48990590327546846,0.484408132016189,0.005497771259279471,3,492
626279,novelty,behavior_response,designated_novel,familiar,0.491901776384535,0.455988455988456,0.03591332039607903,1,157
632295,novelty,behavior_response,designated_novel,familiar,0.6245238095238095,0.6392285789217339,-0.014704769397924422,2,288
638387,novelty,behavior_response,designated_novel,familiar,0.6206636500754148,0.38889983579638754,0.23176381427902726,1,120
640887,novelty,behavior_response,designated_novel,familiar,0.8573112711043746,0.8161904761904762,0.041120794913898306,2,376
640890,novelty,behavior_response,designated_novel,familiar,0.6452873563218391,0.7373725239924788,-0.09208516767063968,2,369
642504,novelty,behavior_response,designated_novel,familiar,0.7683373969580867,0.755701424179685,0.012635972778401672,3,536
614547,novelty,early_reward_axis,designated_novel,familiar,0.11299699028035454,0.7112444314679328,-0.5982474411875782,1,162
614608,novelty,early_reward_axis,designated_novel,familiar,0.2973135851868132,0.6533410484536399,-0.3560274632668267,2,365
615048,novelty,early_reward_axis,designated_novel,familiar,0.08995377521780787,0.6541096112408373,-0.5641558360230294,2,322
615564,novelty,early_reward_axis,designated_novel,familiar,0.21264120125812558,0.6812826259503431,-0.4686414246922175,2,259
623319,novelty,early_reward_axis,designated_novel,familiar,-0.01042216947197222,0.5773460652657175,-0.5877682347376898,2,277
623322,novelty,early_reward_axis,designated_novel,familiar,0.1881082108354565,0.6290643881473423,-0.44095617731188586,3,492
626279,novelty,early_reward_axis,designated_novel,familiar,0.14912469020781313,0.6798407818030179,-0.5307160915952047,1,157
632295,novelty,early_reward_axis,designated_novel,familiar,0.09477045483209032,0.6454708577941395,-0.5507004029620491,2,288
638387,novelty,early_reward_axis,designated_novel,familiar,0.15219513826880107,0.6864186120649648,-0.5342234737961638,1,120
640887,novelty,early_reward_axis,designated_novel,familiar,0.29004894993641434,0.7568633199072925,-0.46681436997087816,2,376
640890,novelty,early_reward_axis,designated_novel,familiar,0.23203249858727015,0.6890400885269776,-0.45700758993970747,2,369
642504,novelty,early_reward_axis,designated_novel,familiar,0.15469507509737065,0.6991186165619822,-0.5444235414646115,3,536
