subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_bin_start_seconds,relative_bin_stop_seconds,relative_bin_center_seconds,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
604914,reward_restoration,2,pseudo,go,-3,no_reward,-360.0,-240.0,-300.0,2,2,2,0.5625,17,10,2,0.2779999999999063,10,0,0,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,-2,no_reward,-240.0,-120.0,-180.0,2,2,2,0.6666666666666666,19,13,2,0.3201025000000186,13,0,0,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,-1,no_reward,-120.0,0.0,-60.0,2,2,2,0.55,19,10,2,0.41180999999994583,10,0,0,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,0,no_reward,0.0,120.0,60.0,2,2,2,0.5454545454545454,22,12,2,0.4034550000000081,12,0,0,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,1,no_reward,120.0,240.0,180.0,2,2,2,0.5,17,8,1,0.17828999999983353,8,0,1,observed,equal_session_mean
604914,reward_restoration,2,pseudo,go,2,no_reward,240.0,360.0,300.0,2,2,2,0.55,20,11,2,0.46175999999996975,11,0,0,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-3,no_reward,-360.0,-240.0,-300.0,2,2,2,0.5,6,4,1,0.18523499999992055,4,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-2,no_reward,-240.0,-120.0,-180.0,2,2,2,0.5,6,2,1,0.1782349999998587,2,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,-1,no_reward,-120.0,0.0,-60.0,2,2,2,0.5,5,3,1,0.17797999999993408,3,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,0,engaged_2,0.0,120.0,60.0,2,2,1,0.0,4,0,0,,0,1,2,observed,equal_session_mean
604914,reward_restoration,2,real,catch,1,engaged_2,120.0,240.0,180.0,2,2,2,0.5,6,3,1,0.17812000000003536,3,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,catch,2,engaged_2,240.0,360.0,300.0,2,2,2,0.5,5,2,1,0.17785499999990861,2,0,1,observed,equal_session_mean
