transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_mice_inventory,n_mice_response_contributing,n_sessions_response_contributing,n_trials_contributing,n_responses_contributing,response_probability,response_probability_ci_low,response_probability_ci_high,response_bootstrap_seed,n_mice_latency_contributing,n_sessions_latency_contributing,n_latency_responses_contributing,mean_session_median_response_latency_seconds,response_latency_ci_low,response_latency_ci_high,latency_bootstrap_seed,confidence_level,bootstrap_resamples,ci_method,aggregation,latency_estimand
reward_restoration,2,real,catch,1,engaged_2,1,8,4.5,27,27,98,253,31,0.13734567901234568,0.083329475308642,0.19814814814814813,11081,18,25,31,0.42085858796298226,0.34392241724546185,0.5021813281250503,11082,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,catch,2,engaged_2,9,16,12.5,27,27,99,267,29,0.10730452674897119,0.05648148148148148,0.1641460905349794,11083,13,22,29,0.38554685897436985,0.3161863605769489,0.4520604134615151,11084,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,catch,3,engaged_2,17,24,20.5,27,27,99,248,25,0.11538065843621398,0.06450617283950617,0.17582561728395057,11085,17,22,25,0.44408921568645504,0.37514423774535777,0.5155868921571449,11086,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-3,no_reward,-24,-17,-20.5,27,27,99,531,70,0.13749265138154027,0.08999099794238682,0.19059578924162252,11087,20,35,70,0.48296958333326645,0.44708945833323144,0.5196763291665721,11088,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-2,no_reward,-16,-9,-12.5,27,27,99,542,72,0.14836860670194005,0.10840645208700767,0.19229570840681945,11089,24,46,72,0.4499717361110906,0.39875787413194036,0.4969014314235223,11090,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,-1,no_reward,-8,-1,-4.5,27,27,99,523,73,0.1457010582010582,0.09953703703703705,0.19676146384479715,11091,21,43,73,0.4567612301587311,0.4071853675595024,0.5041652495039289,11092,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,1,engaged_2,1,8,4.5,27,27,99,539,305,0.5801513815402705,0.4921788653733098,0.6664609053497941,11093,27,88,305,0.4369409104937906,0.4019545034722005,0.4691276292437852,11094,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,2,engaged_2,9,16,12.5,27,27,99,525,292,0.5749926513815402,0.4851480746619637,0.6639425338036449,11095,27,85,292,0.4485461419754226,0.4107631365742706,0.48449577932103627,11096,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_restoration,2,real,go,3,engaged_2,17,24,20.5,27,27,99,544,278,0.5236772486772486,0.42570363021751917,0.6205175264550264,11097,27,81,278,0.45439682098777107,0.4162958831019576,0.4906144104938827,11098,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,-3,engaged_1,-24,-17,-20.5,27,25,67,202,20,0.11222222222222221,0.04166666666666667,0.20611111111111113,11099,10,17,20,0.4262878333333272,0.3589686375000215,0.49512347916665383,11100,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
